course_of_action	vulnerability
#3660:37	#228:3301
#252:43	#239:756
#252:43	#240:238
#3661:195	#243:1421
#249:20	#241:3111
#256:80	#228:1168
#257:25	#226:2752
#3660:79	#216:3162
#256:80	#211:3540
#3659:180	#227:1623
#254:25	#211:689
#252:56	#219:362
#256:80	#239:1254
#3659:12	#214:761
#256:80	#241:2627
#256:85	#229:3179
#254:38	#228:3059
#254:45	#215:1573
#252:56	#248:2342
#254:74	#214:3130
#254:41	#236:2501
#3661:138	#242:2544
#3658:191	#238:145
#251:83	#241:2000
#3660:105	#232:2454
#257:34	#210:3185
#254:25	#210:1026
#3660:138	#247:2393
#254:41	#228:3447
#256:85	#226:149
#256:80	#238:2596
#3661:76	#210:3480
#256:80	#233:1936
#3661:72	#216:3094
#254:41	#236:3605
#3658:197	#227:129
#3658:5	#220:53
#252:46	#212:987
#256:85	#243:3539
#254:41	#234:1732
#256:80	#246:3738
#3662:12	#221:1793
#254:44	#231:3012
#257:19	#244:806
#3662:103	#222:3133
#256:65	#248:91
#256:85	#215:2754
#257:19	#215:594
#254:55	#239:3185
#254:41	#218:2553
#254:41	#222:1539
#257:41	#212:1931
#3662:4	#224:1677
#256:80	#216:1148
#252:43	#248:1219
#249:28	#242:2883
#252:56	#227:3503
#249:22	#234:2031
#256:85	#219:1684
#256:80	#230:3164
#254:41	#231:2902
#256:80	#241:2332
#254:53	#215:2454
#3659:186	#241:1321
#3661:219	#224:3311
#254:68	#233:1180
#257:34	#209:2541
#254:41	#236:3228
#251:83	#224:558
#254:41	#230:1133
#254:53	#225:829
#3659:182	#233:1194
#3659:37	#239:2198
#256:80	#210:3559
#256:80	#227:2350
#249:57	#240:2519
#3660:49	#242:1009
#252:25	#229:235
#256:85	#220:3073
#256:80	#224:3563
#3660:111	#248:2449
#3661:180	#227:2025
#252:24	#225:3246
#3659:164	#229:1900
#3660:18	#223:2985
#256:80	#215:1535
#256:80	#215:278
#254:29	#227:1544
#256:85	#228:299
#254:70	#221:3152
#256:80	#244:1495
#256:80	#232:167
#3658:166	#223:374
#256:85	#223:953
#3662:91	#234:3618
#3660:5	#235:1165
#254:41	#222:2398
#254:25	#225:201
#254:29	#211:1788
#3662:86	#234:1100
#257:25	#225:2526
#256:80	#218:1083
#3662:32	#231:403
#3662:35	#242:1550
#3659:133	#228:3400
#3659:9	#227:958
#254:41	#240:2416
#256:60	#247:1305
#256:60	#218:1561
#3658:121	#227:2081
#249:42	#217:2641
#254:41	#211:2544
#254:41	#232:3731
#249:22	#217:3252
#254:41	#213:1196
#256:80	#240:1980
#254:41	#212:3464
#249:28	#217:661
#256:80	#235:295
#256:80	#222:407
#3659:192	#227:1332
#3658:0	#230:1871
#254:45	#244:1842
#252:24	#222:1782
#254:41	#226:1562
#256:85	#239:1734
#3658:95	#212:3761
#3658:207	#210:638
#254:12	#216:568
#3659:116	#224:429
#256:80	#244:870
#254:41	#248:971
#3660:192	#221:281
#256:85	#219:2588
#3658:130	#222:2715
#256:80	#244:1315
#3661:58	#245:236
#3659:117	#227:2577
#256:80	#240:3161
#256:80	#221:1747
#256:80	#228:1435
#256:85	#248:80
#256:85	#241:427
#3661:28	#215:3519
#249:78	#238:204
#254:41	#211:297
#254:70	#244:2059
#256:80	#222:3797
#256:80	#226:2416
#254:41	#224:2146
#256:85	#221:2552
#254:41	#247:1466
#256:80	#242:1514
#256:85	#221:3238
#249:28	#218:1343
#254:29	#234:1612
#3660:117	#226:698
#256:80	#241:3264
#3658:49	#220:2089
#249:57	#240:3572
#3660:209	#241:2795
#254:75	#231:1331
#256:80	#246:743
#254:41	#217:1768
#254:56	#211:3028
#254:41	#225:448
#254:41	#244:823
#256:80	#239:2214
#249:20	#215:1609
#256:80	#216:1803
#256:80	#216:2386
#252:56	#235:54
#3658:210	#238:1432
#254:45	#212:1372
#254:41	#209:3019
#252:43	#213:2245
#254:41	#214:1283
#252:20	#238:2681
#254:41	#230:3217
#3658:50	#232:1120
#256:85	#242:3104
#254:41	#235:618
#254:41	#216:3631
#252:56	#212:1381
#3662:41	#233:3195
#256:57	#235:3234
#256:80	#235:3219
#249:22	#229:1966
#254:70	#230:2290
#254:67	#241:845
#254:63	#226:2319
#256:80	#247:537
#3658:103	#236:974
#256:85	#221:155
#3661:94	#240:1522
#256:80	#245:2266
#256:85	#220:2005
#254:44	#233:2680
#255:94	#246:910
#256:80	#246:833
#254:41	#227:2748
#256:80	#228:1784
#249:72	#240:484
#254:41	#222:2706
#256:80	#237:2317
#3662:60	#217:567
#256:85	#240:2492
#254:41	#235:1784
#254:41	#221:2292
#3659:149	#230:3421
#249:28	#209:2444
#256:80	#213:426
#256:80	#235:3163
#254:53	#229:235
#256:80	#243:1444
#254:45	#247:3426
#3660:108	#219:935
#256:80	#222:60
#3660:103	#215:205
#256:80	#225:3221
#256:80	#243:3527
#252:43	#223:3230
#256:85	#228:554
#3661:89	#242:3604
#3661:147	#247:229
#3658:37	#240:2864
#256:80	#225:311
#3660:146	#225:2715
#3660:61	#234:1502
#249:57	#233:3566
#254:41	#222:3467
#256:80	#235:35
#253:98	#220:547
#3660:219	#230:930
#254:38	#229:3203
#256:85	#227:192
#257:8	#211:794
#3660:151	#226:2298
#257:25	#228:54
#256:80	#210:1288
#249:64	#240:2724
#256:85	#225:204
#249:78	#211:2816
#252:43	#248:342
#257:34	#223:1213
#256:85	#247:1932
#256:80	#217:3329
#256:80	#231:313
#256:65	#222:3458
#256:80	#217:254
#3660:86	#226:1047
#251:75	#230:428
#249:78	#217:3711
#249:28	#214:1403
#254:70	#221:1829
#3658:139	#217:3087
#256:80	#240:3729
#249:72	#211:3568
#252:24	#224:1799
#256:80	#242:1747
#256:80	#227:684
#256:80	#235:1064
#256:91	#214:3546
#254:41	#216:624
#3661:103	#229:879
#3661:56	#224:1322
#3658:124	#218:477
#3662:90	#240:534
#3662:100	#222:3013
#252:24	#233:1162
#254:45	#248:2145
#256:80	#228:3362
#256:80	#228:413
#254:38	#211:3028
#257:19	#245:1385
#3660:157	#241:1048
#3659:79	#243:1011
#252:29	#238:2688
#254:22	#225:2807
#3658:92	#239:1138
#256:80	#222:1332
#3660:165	#240:1798
#256:85	#218:2407
#3661:166	#245:1625
#3658:171	#237:2350
#256:80	#210:2363
#254:50	#248:2051
#252:43	#216:141
#254:41	#243:3187
#254:41	#219:342
#3659:127	#244:1076
#252:43	#213:1435
#256:85	#209:1534
#3659:91	#221:2029
#257:41	#226:3575
#254:42	#227:1889
#254:41	#232:3415
#256:80	#247:2373
#257:15	#237:2916
#249:42	#226:641
#3662:72	#233:249
#256:80	#229:574
#256:85	#246:2076
#254:41	#240:1732
#257:41	#243:1676
#257:34	#227:1811
#3661:152	#230:1969
#252:20	#238:1122
#256:80	#245:1347
#256:80	#217:102
#252:43	#216:3366
#3660:2	#213:1531
#252:24	#248:2106
#3660:218	#223:2985
#252:43	#234:1696
#254:41	#223:3295
#3662:28	#221:1807
#3660:199	#237:2963
#3660:97	#235:361
#256:80	#217:1425
#256:80	#248:3623
#3658:55	#243:213
#256:80	#213:2899
#3659:19	#241:3694
#3658:102	#238:497
#3658:128	#217:1704
#252:43	#238:2067
#257:25	#240:534
#256:80	#232:3679
#252:43	#219:2264
#252:24	#244:410
#254:28	#244:1830
#3661:51	#226:134
#254:41	#209:3400
#252:24	#211:366
#254:41	#229:1545
#3659:193	#233:2653
#250:94	#214:2136
#254:70	#219:1005
#3661:91	#216:1030
#254:72	#209:3391
#3659:109	#247:2136
#3660:155	#213:975
#254:41	#230:475
#257:15	#238:3530
#249:76	#243:89
#3658:60	#232:658
#3658:108	#239:993
#3661:217	#246:2882
#254:41	#218:160
#256:80	#236:3670
#3662:71	#224:2497
#254:41	#228:1057
#256:80	#210:368
#3660:178	#221:2195
#254:44	#238:1365
#3659:197	#225:317
#256:80	#219:3645
#254:41	#227:235
#249:42	#225:2326
#254:41	#225:975
#256:80	#229:2933
#256:85	#229:2003
#252:24	#226:3575
#249:72	#218:734
#254:41	#212:610
#257:34	#230:295
#256:80	#234:1005
#249:72	#218:3559
#249:72	#224:782
#254:41	#211:2710
#256:80	#242:2827
#252:43	#248:347
#3660:35	#236:1218
#257:12	#235:26
#254:70	#228:135
#256:85	#233:2169
#256:85	#224:1012
#256:80	#225:3313
#256:80	#237:3050
#3662:21	#210:2142
#3659:161	#241:188
#3659:85	#244:1818
#256:80	#216:872
#3658:131	#214:3284
#252:43	#211:1543
#3661:215	#234:3044
#3660:191	#218:3487
#254:53	#243:552
#256:80	#234:2927
#254:41	#241:3505
#256:80	#230:1646
#256:80	#214:2390
#252:56	#230:3086
#249:28	#225:1867
#254:42	#209:743
#257:9	#217:2302
#3660:205	#223:555
#3660:166	#248:1919
