course_of_action	vulnerability
#256:85	#211:596
#254:41	#241:3366
#254:41	#225:3216
#3661:211	#220:1532
#254:41	#223:656
#249:76	#233:147
#254:41	#236:2109
#256:80	#230:409
#254:72	#244:80
#256:91	#234:1376
#254:41	#244:2664
#3660:183	#223:2287
#257:19	#210:1019
#252:43	#236:3755
#256:80	#243:289
#254:50	#214:2227
#254:41	#216:1180
#3658:3	#230:2522
#256:85	#214:145
#3659:123	#225:1230
#254:41	#233:2060
#249:35	#231:152
#256:80	#242:3566
#252:43	#233:2972
#249:22	#245:778
#256:80	#211:1604
#257:19	#237:1781
#3658:86	#215:2088
#249:72	#248:3281
#3660:27	#245:2586
#3659:43	#243:2178
#3659:50	#235:3019
#252:43	#213:2991
#252:29	#242:1129
#3658:117	#222:3742
#3659:111	#243:216
#254:41	#224:3535
#256:80	#229:12
#3661:25	#232:321
#254:41	#246:925
#3659:110	#221:1241
#3659:179	#218:2675
#252:43	#223:673
#254:22	#220:553
#3658:71	#242:2701
#257:25	#235:3523
#256:91	#240:919
#256:80	#241:389
#257:9	#209:3477
#256:80	#215:1494
#252:24	#220:2944
#3660:70	#222:3133
#256:80	#240:812
#254:41	#215:2214
#3661:65	#240:338
#254:78	#219:998
#256:80	#227:946
#252:43	#235:3092
#3661:70	#239:1157
#249:56	#245:1268
#256:85	#217:1770
#3661:169	#222:34
#254:41	#219:2663
#3658:164	#235:1738
#254:48	#244:2821
#3659:195	#232:3653
#3661:5	#235:1910
#252:29	#243:89
#257:34	#217:2591
#256:80	#248:1344
#256:80	#224:186
#3661:96	#215:1208
#252:43	#238:2666
#254:45	#209:426
#249:57	#214:430
#256:85	#232:3171
#3660:75	#214:3361
#256:85	#226:1305
#254:41	#242:133
#3659:104	#228:2916
#252:24	#234:1867
#252:43	#233:2061
#3661:84	#218:1378
#3662:17	#223:374
#256:85	#211:2245
#254:41	#236:3032
#3660:63	#236:801
#254:41	#234:1628
#3658:58	#209:3586
#254:41	#222:2112
#252:22	#230:1981
#254:41	#214:3392
#3661:104	#245:3140
#252:43	#225:3509
#256:80	#233:616
#3661:114	#244:571
#256:80	#215:884
#3661:148	#241:1227
#249:34	#222:3753
#3658:127	#234:2866
#254:41	#222:2306
#254:67	#238:3671
#256:80	#222:1628
#3659:155	#247:633
#3659:157	#244:969
#249:20	#248:1904
#252:43	#223:3421
#257:41	#239:3224
#256:80	#210:2324
#254:10	#224:375
#3662:109	#213:2163
#249:72	#246:3070
#3660:48	#243:2240
#3659:138	#238:1191
#256:78	#239:1915
#256:80	#216:3525
#3659:39	#236:3142
#254:41	#245:248
#254:67	#248:1561
#252:43	#246:1641
#254:55	#243:1774
#256:80	#239:2189
#256:80	#214:1100
#256:78	#241:2492
#256:85	#228:3629
#256:80	#216:1460
#3659:145	#210:708
#252:43	#234:3676
#249:91	#227:317
#252:43	#219:2369
#3662:51	#246:2683
#3658:215	#245:187
#254:41	#209:58
#254:45	#215:1810
#256:85	#240:757
#3662:66	#244:971
#3658:151	#240:3234
#256:80	#242:402
#252:44	#242:371
#254:41	#211:2379
#256:80	#245:3244
#3661:98	#246:3232
#3662:84	#225:1187
#254:41	#234:2715
#256:80	#227:3756
#3660:112	#248:2400
#256:80	#219:3526
#256:80	#216:404
#257:29	#214:1473
#3658:81	#220:199
#256:80	#227:887
#252:56	#243:1634
#254:68	#229:1957
#249:63	#236:154
#257:41	#220:1568
#257:34	#228:3556
#254:41	#225:2191
#256:80	#226:3755
#252:24	#214:519
#3659:92	#219:2311
#254:41	#220:516
#256:85	#245:1748
#254:78	#223:912
#256:80	#225:562
#252:24	#213:1370
#254:75	#234:2876
#249:42	#237:2941
#3658:141	#236:70
#256:80	#235:1535
#256:80	#236:3502
#254:53	#223:1214
#256:85	#234:2137
#254:41	#236:1402
#3662:19	#215:1637
#252:25	#247:3680
#252:24	#234:3121
#249:72	#232:2029
#252:56	#232:414
#3661:216	#231:2782
#254:41	#246:2684
#252:43	#246:3516
#3659:166	#220:2949
#3662:68	#224:570
#256:85	#243:2058
#256:80	#214:550
#256:80	#236:2381
#3658:10	#211:2523
#3660:101	#237:534
#254:41	#235:2586
#3659:73	#247:1011
#252:43	#239:438
#252:43	#238:454
#249:64	#242:2185
#257:41	#226:1506
#254:45	#217:1924
#256:80	#219:2207
#256:80	#222:1355
#256:85	#233:1534
#254:41	#236:3383
#249:72	#219:3711
#252:43	#211:222
#256:80	#237:787
#254:28	#246:2928
#254:45	#239:1615
#257:41	#213:1370
#257:25	#247:3515
#256:85	#212:2784
#257:13	#211:3281
#3660:196	#216:2061
#3659:100	#244:1489
#252:43	#227:3084
#252:43	#215:16
#257:19	#224:3625
#3660:133	#231:2681
#258:98	#240:3787
#254:53	#231:1620
#3660:163	#228:2349
#3660:54	#228:350
#252:51	#242:1410
#257:13	#214:3223
#254:41	#230:1040
#254:53	#244:1021
#256:80	#209:3429
#252:43	#210:1307
#258:98	#231:861
#249:78	#222:58
#254:41	#235:2131
#257:34	#216:3565
#3661:136	#212:2808
#3661:112	#217:2177
#254:41	#240:3190
#252:43	#247:3682
#3662:76	#236:946
#252:43	#232:481
#3658:53	#232:3448
#249:64	#218:3171
#3660:217	#248:1329
#254:42	#225:289
#256:80	#215:341
#254:41	#217:441
#3660:161	#217:2939
#3660:110	#221:421
#254:22	#216:3275
#256:91	#225:981
#3660:16	#233:2806
#257:19	#223:277
#256:80	#231:2272
#249:56	#225:953
#3660:175	#233:1982
#256:65	#224:3121
#3662:24	#240:3563
#254:55	#217:1409
#3658:23	#232:2458
#256:85	#212:984
#254:41	#223:2387
#252:43	#228:1278
#256:80	#226:929
#252:56	#239:2347
#3659:214	#248:2943
#3658:126	#230:285
#249:28	#217:1377
#3660:55	#225:1499
#3660:14	#239:2371
#256:80	#221:2212
#3658:11	#231:663
#3661:204	#235:3679
#254:41	#210:2552
#252:24	#222:202
#254:41	#248:389
#254:41	#242:3758
#256:80	#211:73
#249:64	#242:2338
#257:25	#224:2336
#256:80	#248:736
#3662:62	#225:3387
#254:41	#211:1712
#254:41	#231:2849
#249:64	#240:2252
#254:53	#235:3301
#249:22	#211:190
#256:85	#227:1066
#249:72	#218:1531
#252:56	#246:2527
#256:85	#210:1787
#252:1	#236:154
#256:80	#216:855
#3661:187	#228:1428
#254:12	#216:596
#3660:171	#235:591
#3662:2	#247:1614
#256:80	#245:1571
#257:41	#245:3629
#256:80	#220:1404
#3659:212	#245:3434
#256:80	#238:2397
#256:85	#243:156
#256:85	#248:635
#257:41	#226:2462
#254:41	#221:41
#254:41	#248:2190
#3658:110	#230:2015
#3659:171	#220:2828
#3660:12	#215:2311
#254:41	#232:891
#254:70	#213:3466
#254:45	#212:452
#254:45	#229:2534
#254:70	#214:306
#256:80	#220:157
#3659:55	#217:2585
#3660:83	#248:3684
#256:80	#211:1803
#3659:187	#235:2292
#254:41	#226:2459
#256:80	#211:2084
#254:41	#239:3699
#3659:23	#228:3114
#256:80	#209:1438
#3660:145	#244:2414
#249:71	#227:1189
#257:34	#224:3451
#3659:13	#225:3413
#256:80	#215:1380
#3661:183	#210:1452
#249:64	#241:1109
#256:80	#247:416
#258:98	#210:794
#256:85	#238:3014
#254:53	#232:2250
#3659:140	#240:1909
#3661:123	#210:1398
#256:80	#226:3729
#257:43	#248:301
#257:10	#229:1284
#256:80	#237:1639
#256:80	#241:2088
#3660:179	#227:1568
#3659:130	#211:3383
#252:56	#211:3530
#249:28	#237:2814
#3658:181	#243:3269
#256:80	#211:2496
#3661:188	#222:3664
#3660:96	#232:149
#254:25	#237:3527
#3661:3	#221:182
#3661:21	#232:2407
#254:56	#209:3487
#256:80	#223:3015
#3660:153	#228:1966
#254:51	#235:2328
#3661:44	#239:151
#254:41	#231:2675
#254:41	#216:153
#3659:42	#223:1205
#256:80	#212:1180
#3661:0	#220:1359
#254:41	#244:1363
#252:43	#244:539
#254:41	#242:2195
#254:41	#246:2291
#256:80	#238:2961
#3662:79	#247:1855
#256:85	#237:2599
#3659:159	#212:1430
#256:80	#242:3575
#252:29	#213:1578
#3660:159	#232:3611
#256:85	#219:2464
#252:24	#234:3420
#252:56	#217:2057
#256:80	#222:887
#3659:114	#212:1523
#3660:47	#213:2426
#252:46	#230:3204
#3659:10	#239:922
#256:80	#234:533
#256:80	#228:3026
#254:41	#230:3404
#256:80	#228:1209
#3659:128	#218:2376
#256:80	#227:2604
#3660:198	#247:3786
#3662:107	#222:3456
#3662:69	#238:1931
#251:72	#241:14
#256:80	#219:1504
#252:43	#220:547
#3662:37	#245:2780
#256:80	#213:1573
#254:42	#231:3359
#3660:187	#238:2059
#3661:18	#220:3449
#256:80	#243:1943
#252:24	#229:2007
#3659:196	#230:2008
#249:42	#211:1639
#249:55	#233:1406
#251:75	#240:2836
#257:12	#240:386
#258:93	#221:3624
#3659:72	#234:2788
#254:41	#243:2522
#256:80	#221:3572
#256:80	#241:94
#257:34	#221:1088
#3660:194	#213:969
#254:41	#223:2733
#254:41	#239:1482
#255:94	#234:691
#3659:221	#224:291
#254:48	#218:471
#3661:26	#222:2590
#252:51	#219:1880
#256:80	#224:1112
#3659:105	#241:893
#3661:34	#213:1404
#3661:92	#213:1084
#254:41	#217:961
#3661:117	#248:2943
#256:85	#223:2887
#256:85	#226:1644
#254:41	#233:2590
#3659:152	#247:1656
#254:68	#242:600
#254:25	#221:3194
#3658:220	#241:1423
#256:80	#229:1480
#256:85	#210:1542
#252:44	#237:2573
#254:67	#233:741
#252:34	#213:536
#256:80	#209:2690
#257:25	#225:1989
#254:41	#210:1417
#249:57	#242:2779
#254:41	#246:3464
#254:45	#210:3719
#256:80	#239:414
#252:43	#244:1588
#256:80	#237:2156
#3660:102	#235:1950
#256:65	#236:2928
#252:43	#219:623
#3658:65	#243:1841
#256:80	#224:500
#254:42	#240:1094
#252:43	#214:3446
#254:78	#213:368
#254:41	#242:2540
#3658:155	#230:1493
#3660:136	#233:3443
#254:41	#210:3065
#249:72	#222:635
#252:43	#245:3225
#252:43	#237:1829
#3658:31	#214:2958
#256:85	#235:2223
#254:78	#248:2427
#3658:76	#223:1860
#256:85	#247:1423
#3660:215	#234:2181
#3660:17	#244:1496
#256:80	#221:2426
#3661:125	#240:1250
#3660:13	#215:1398
#254:41	#240:3236
#254:41	#237:3745
#256:80	#236:3547
#257:30	#226:1506
#252:56	#238:2270
#254:41	#246:792
#3661:17	#242:3365
#249:28	#212:2877
#252:43	#246:3681
#254:29	#222:1329
#3659:107	#224:3575
#3662:10	#234:3701
#252:43	#244:3579
#256:80	#216:3278
#252:1	#224:456
#251:86	#219:3760
#254:41	#237:912
#3662:1	#243:2305
#256:80	#243:964
#3661:71	#239:2502
#3662:95	#239:3383
#254:41	#224:1405
#252:43	#209:2908
#254:70	#224:760
#254:53	#246:2732
#3660:203	#210:3407
#257:25	#210:956
#254:25	#235:859
#254:42	#215:562
#252:43	#225:936
#251:87	#242:1889
#252:4	#209:1133
#3658:160	#221:539
#249:72	#232:3723
#3659:28	#222:254
#3660:214	#244:3155
#249:57	#228:3008
#249:72	#211:1004
#252:56	#216:780
#3658:74	#229:3542
#256:80	#214:2217
#254:41	#225:985
#254:41	#243:3623
#256:80	#240:2972
#254:41	#236:2013
#3658:157	#247:1211
#3662:65	#218:2312
#3661:214	#216:1539
#252:24	#245:1785
#254:48	#238:826
#257:19	#212:5
#254:41	#240:2157
#3658:75	#234:3248
#254:41	#225:2425
#254:41	#221:2683
#254:41	#247:97
#252:43	#247:1408
#249:57	#230:3121
#254:41	#226:837
#256:80	#230:1839
#254:53	#242:2675
#256:80	#222:3606
#254:41	#231:846
#3662:20	#243:2305
#254:41	#234:2861
#249:28	#242:3200
#249:72	#219:503
#3659:33	#214:1501
#252:43	#213:2302
#254:41	#221:1591
#3659:66	#214:3406
#256:80	#219:2040
#3660:107	#245:3594
#250:94	#237:881
#256:85	#248:731
#3661:69	#246:3369
#3659:69	#210:1138
#254:41	#244:2192
#3660:53	#237:1290
#3661:55	#242:275
#3659:45	#240:3785
#256:80	#214:3577
#3658:204	#241:820
#252:43	#224:1693
#257:25	#245:3342
#3659:53	#227:1505
#257:38	#209:936
#256:80	#236:1655
#252:43	#218:2499
#3661:193	#247:2789
#3660:73	#214:2595
#256:80	#215:1058
#249:28	#241:1433
#254:78	#234:3141
#256:80	#221:1967
#256:85	#245:688
#254:68	#242:459
#3662:106	#217:2939
#252:43	#242:1603
#3661:190	#212:186
#254:41	#241:148
#257:34	#212:464
#249:72	#221:1099
#3662:7	#225:2559
#3658:199	#241:2210
#249:22	#242:2675
#256:85	#230:2022
#252:43	#239:3633
#254:41	#243:3256
#256:85	#213:89
#252:56	#213:1775
#256:80	#212:201
#3660:129	#215:3010
#3658:89	#211:1878
#253:98	#246:1178
#251:60	#245:2052
#256:80	#211:2382
#3661:213	#247:1842
#254:10	#210:242
#3660:125	#235:3205
#3661:135	#245:3074
#249:72	#237:297
#256:80	#240:1125
#3658:187	#226:2379
#256:80	#246:450
#252:43	#248:1192
#256:80	#210:1958
#3658:146	#244:1203
#252:43	#209:1348
#254:45	#227:2071
#256:80	#228:3327
#256:80	#218:3794
#254:28	#238:2852
#249:42	#237:2970
#254:41	#247:2827
#256:80	#223:3505
#254:41	#223:340
#257:34	#213:309
#254:41	#236:2835
#252:24	#236:2782
#3658:47	#248:2232
#252:43	#233:1242
#3662:31	#234:3225
#256:80	#235:2201
#254:41	#217:1589
#254:41	#231:2093
#254:41	#244:1981
#3658:208	#240:163
#256:85	#227:551
#3661:19	#228:2425
#252:56	#210:983
#3659:143	#214:2204
#252:24	#227:1579
#256:85	#226:828
#3662:34	#237:2764
#3661:87	#210:1862
#254:25	#248:3166
#254:41	#212:2866
#252:24	#217:3070
#3658:41	#239:3282
#253:98	#236:669
#3658:67	#222:1998
#254:41	#209:3588
#256:80	#243:1325
#254:38	#243:1652
#254:41	#226:1513
#254:70	#211:2324
#3659:75	#237:1467
#257:30	#240:27
#254:41	#235:23
#254:41	#233:2847
#3661:156	#224:3794
#252:24	#226:2462
#254:12	#245:863
#254:41	#244:2041
#252:34	#209:1861
#249:57	#220:3165
#252:56	#237:754
#254:17	#242:204
#256:80	#223:3173
#3658:154	#213:365
#3660:156	#223:1842
#254:22	#232:741
#3659:207	#234:2942
#257:19	#235:3260
#252:43	#230:371
#3659:163	#246:3250
#254:41	#236:2563
#3660:40	#242:3355
#256:80	#209:3675
#3659:204	#246:309
#3658:28	#233:3300
#258:98	#242:1931
#3658:35	#232:273
#257:19	#218:303
#256:85	#212:3748
#252:43	#242:2314
#254:17	#237:2612
#3661:158	#245:864
#256:80	#218:1443
#256:80	#222:2751
#252:43	#242:327
#254:69	#246:1176
#256:85	#227:1884
#254:25	#222:2541
#3658:143	#225:537
#3658:186	#220:591
#252:24	#212:1931
#257:34	#227:475
#249:22	#239:3198
#3659:177	#218:3770
#3661:47	#212:2196
#254:45	#235:3109
#3658:115	#226:2169
#256:85	#211:1861
#254:72	#231:999
#256:80	#217:1036
#254:38	#214:729
#254:41	#238:525
#3659:211	#247:83
#256:85	#228:1134
#252:21	#213:1514
#254:22	#227:1360
#3662:108	#238:1293
#3658:22	#247:1203
#3660:167	#222:1556
#249:77	#219:2054
#252:43	#223:1292
#256:80	#224:1252
#249:72	#233:1489
#257:34	#242:3242
#249:42	#216:671
#3659:98	#240:1875
#254:45	#248:2411
#254:12	#237:493
#256:80	#244:3662
#256:80	#233:1479
#252:43	#213:1737
#254:41	#241:502
#254:41	#222:1471
#254:41	#248:2051
#252:24	#237:898
#254:41	#233:395
#254:25	#211:999
#256:80	#244:1261
#254:41	#241:2027
#3661:108	#217:2112
#256:80	#224:2614
#3658:98	#221:2802
#254:41	#242:1032
#254:41	#247:926
#254:53	#240:1046
#256:85	#226:3729
#256:80	#228:3704
#256:80	#209:1093
#256:80	#241:3203
#254:38	#240:1286
#256:65	#217:2747
#254:38	#247:3393
#3661:88	#225:2344
#249:63	#248:1880
#3660:180	#236:920
#3661:11	#229:2257
#3659:150	#226:3688
#3659:68	#234:300
#3659:219	#237:1217
#3660:188	#222:600
#254:55	#214:1243
#3658:4	#227:3052
#254:41	#244:3470
#254:29	#211:2942
#254:41	#227:3058
#254:41	#217:2482
#256:65	#225:331
#3658:133	#235:2810
#249:71	#241:3540
#3659:80	#228:3005
#3660:152	#211:2253
#256:80	#232:691
#256:80	#222:520
#256:82	#241:2627
#254:78	#219:1839
#3660:116	#221:2637
#254:41	#226:1209
#256:65	#246:2279
#254:41	#212:3120
#252:56	#210:3139
#256:80	#244:1722
#256:80	#239:1464
#3660:212	#234:533
#254:41	#238:2746
#252:20	#223:2855
#3661:181	#248:1195
#254:41	#211:1869
#249:42	#244:992
#3661:100	#214:2610
#3659:174	#222:2749
#254:10	#215:1776
#251:75	#216:3555
#254:42	#243:2566
#249:57	#233:3275
