tool	malware
#3961:4	#4338:1
#3972:2	#4358:1
#3970:4	#4425:0
#3948:0	#4487:0
#3944:2	#4458:1
#3972:5	#4366:0
#3938:0	#4338:0
#3948:0	#4312:0
#3976:5	#4486:0
#3943:5	#4483:0
#3976:5	#4540:0
#3942:5	#4262:0
#3960:5	#4267:1
#3972:4	#4466:1
#3976:2	#4349:1
#3971:5	#4383:0
#3938:1	#4270:0
#3974:4	#4569:0
#3943:4	#4578:0
#3945:3	#4265:1
#3968:5	#4413:0
#3972:0	#4467:1
#3972:0	#4357:0
#3966:5	#4389:0
#3967:5	#4321:0
#3970:4	#4288:1
#3970:4	#4477:0
#3972:2	#4503:0
#3951:2	#4552:0
#3939:4	#4260:2
#3953:3	#4260:0
#3966:0	#4268:1
#3971:3	#4275:0
#3944:2	#4278:0
#3946:2	#4368:0
#3976:5	#4265:0
#3974:4	#4275:1
#3974:1	#4316:0
#3944:2	#4380:0
#3970:5	#4315:0
#3961:1	#4276:1
#3947:6	#4559:0
#3940:6	#4469:1
#3976:1	#4372:0
#3961:1	#4403:0
#3960:5	#4476:0
#3975:0	#4472:0
#3967:5	#4565:0
#3972:5	#4327:0
#3950:4	#4277:1
#3947:2	#4291:1
#3967:5	#4405:0
#3968:4	#4479:0
#3951:1	#4283:1
#3940:6	#4506:0
#3938:1	#4322:0
#3947:6	#4489:0
#3944:3	#4460:1
#3947:2	#4356:1
#3944:3	#4325:0
#3954:3	#4362:0
#3972:2	#4307:0
#3944:3	#4273:0
#3942:2	#4464:1
#3961:0	#4346:0
#3968:5	#4353:1
#3975:0	#4390:0
#3945:0	#4276:0
#3951:1	#4363:0
#3940:0	#4274:1
#3944:4	#4289:0
#3957:5	#4480:0
#3943:4	#4272:1
#3954:6	#4341:1
#3975:0	#4583:0
#3975:2	#4324:0
#3961:1	#4361:0
#3961:4	#4563:0
#3962:4	#4296:0
#3943:3	#4373:0
#3954:3	#4398:0
#3943:4	#4539:0
#3956:5	#4401:0
#3938:0	#4538:0
#3945:3	#4388:0
#3976:1	#4546:0
#3957:5	#4367:0
#3946:0	#4560:0
#3976:5	#4499:0
#3944:2	#4500:0
#3966:5	#4464:0
#3975:0	#4504:0
#3940:2	#4281:1
#3948:0	#4292:1
#3943:4	#4299:0
#3938:1	#4348:0
#3961:0	#4397:0
#3938:4	#4409:0
#3954:3	#4317:0
#3938:4	#4340:1
#3971:3	#4556:0
#3973:0	#4467:0
#3954:6	#4287:0
#3947:2	#4490:0
#3951:2	#4282:1
#3957:3	#4291:0
#3976:5	#4418:0
#3952:5	#4478:0
#3941:4	#4292:0
#3972:2	#4547:0
#3944:4	#4353:0
#3943:5	#4286:0
#3944:3	#4570:0
#3976:1	#4295:1
#3941:4	#4402:0
#3975:0	#4274:0
#3973:0	#4502:0
#3974:2	#4400:0
#3938:1	#4463:1
#3943:3	#4268:0
#3957:0	#4494:0
#3964:2	#4261:0
#3975:0	#4309:0
#3948:0	#4393:0
#3973:0	#4422:0
#3971:5	#4501:0
#3938:1	#4566:0
#3954:6	#4419:0
#3947:6	#4343:1
#3944:3	#4341:0
#3940:5	#4550:0
#3950:5	#4589:0
#3961:5	#4369:0
#3971:5	#4463:0
#3940:0	#4465:1
#3976:5	#4370:0
#3976:2	#4551:0
#3974:1	#4376:0
#3954:6	#4382:0
#3957:0	#4355:1
#3943:3	#4468:1
#3967:5	#4377:0
#3963:2	#4328:0
#3938:0	#4498:0
#3963:2	#4285:0
#3966:5	#4357:1
#3965:4	#4542:0
#3946:0	#4284:1
#3945:3	#4427:0
#3957:5	#4311:0
#3973:0	#4269:0
#3948:3	#4352:0
#3965:4	#4355:0
#3972:2	#4264:1
