indicator	campaign
#3414:491	#3557:0
#3226:1784	#3541:4
#3244:757	#3549:12
#3415:318	#3561:7
#3231:1515	#3566:13
#3242:2602	#3569:14
#3257:70	#3559:1
#3223:1374	#3551:5
#3399:131	#3553:1
#3256:411	#3576:8
#3235:2471	#3555:5
#3390:89	#3565:4
#3252:2464	#3545:4
#3411:416	#3567:6
#3234:2465	#3576:0
#3237:143	#3573:6
#3251:1578	#3565:4
#3220:755	#3552:9
#3250:348	#3539:14
#3245:1788	#3576:13
#3417:73	#3557:5
#3224:1103	#3559:1
#3251:2602	#3544:14
#3231:554	#3576:4
#3389:104	#3553:1
#3234:1991	#3572:9
#3393:145	#3561:1
#3248:1780	#3560:0
#3225:1579	#3553:4
#3223:2329	#3541:10
#3243:1237	#3575:4
#3234:1237	#3562:10
#3418:404	#3547:0
#3233:757	#3561:5
#3232:2604	#3553:4
#3222:2467	#3546:0
#3231:554	#3563:9
#3240:2397	#3564:4
#3254:2398	#3540:8
#3248:6	#3553:15
#3231:1993	#3553:1
#3418:101	#3559:1
#3246:895	#3570:7
#3379:75	#3561:5
#3221:75	#3564:14
#3238:755	#3571:12
#3222:2397	#3544:10
#3256:2533	#3548:4
#3219:2472	#3559:0
#3388:492	#3553:1
#3242:2606	#3550:6
#3221:1102	#3555:5
#3415:375	#3557:5
#3417:44	#3557:0
#3244:2608	#3576:9
#3249:2198	#3541:4
#3230:1579	#3541:7
#3255:2330	#3560:7
#3250:828	#3555:5
#3226:209	#3539:15
#3248:1715	#3545:13
#3220:1926	#3556:9
#3228:75	#3552:6
#3237:1240	#3549:10
#3250:1301	#3546:15
#3246:2330	#3573:1
#3219:1716	#3559:3
#3255:761	#3559:1
#3237:895	#3541:4
#3238:1993	#3557:7
#3379:248	#3557:5
#3250:1172	#3564:10
#3225:2677	#3561:15
#3227:2540	#3567:4
#3240:1583	#3572:6
#3381:388	#3553:1
#3222:2473	#3565:4
#3255:2601	#3560:11
#3221:2535	#3560:11
#3230:417	#3547:12
#3394:33	#3561:0
#3248:2266	#3540:11
#3244:1241	#3541:10
#3252:2535	#3561:6
#3222:0	#3540:13
#3236:2535	#3550:6
#3221:1447	#3565:10
#3253:1713	#3574:12
#3240:826	#3559:1
#3404:478	#3557:5
#3230:2194	#3550:12
#3247:2603	#3178:15
#3248:2535	#3542:3
#3245:1439	#3546:3
#3403:434	#3577:6
#3247:2533	#3541:4
#3230:2535	#3560:11
#3238:2262	#3565:6
#3235:1374	#3560:3
#3400:158	#3561:1
#3249:758	#3547:11
#3225:2534	#3540:0
#3224:2602	#3573:8
#3249:2263	#3549:4
#3256:1233	#3553:1
#3405:473	#3557:5
#3237:2400	#3543:8
#3219:554	#3541:1
#3249:2397	#3548:7
#3236:2057	#3548:15
#3221:2194	#3566:3
#3234:1918	#3558:7
#3244:2396	#3547:8
#3240:2198	#3545:4
#3220:1921	#3571:3
#3227:2328	#3560:7
#3253:2466	#3541:4
#3222:2402	#3552:1
#3246:2675	#3572:12
#3222:2399	#3549:10
#3380:532	#3564:8
#3220:622	#3550:10
#3221:2126	#3565:1
#3245:1100	#3569:2
#3244:2466	#3541:4
#3226:2466	#3559:0
#3221:0	#3539:11
#3232:2130	#3545:3
#3244:2191	#3565:11
#3240:620	#3559:1
#3255:2197	#3559:1
#3390:388	#3562:14
#3248:143	#3557:9
#3219:2330	#3544:8
#3398:549	#3546:8
#3223:1310	#3558:2
#3388:478	#3561:1
#3221:1648	#3553:1
#3242:2403	#3577:11
#3226:1233	#3576:8
#3227:2398	#3544:1
#3249:1583	#3562:6
#3229:622	#3568:3
#3237:2330	#3559:8
#3234:1029	#3560:5
#3400:30	#3553:1
#3250:1785	#3549:12
#3242:2672	#3545:10
#3256:963	#3560:11
#3246:2601	#3541:4
#3253:2125	#3546:5
#3252:2676	#3542:2
#3253:347	#3541:5
#3234:2606	#3552:1
#3247:1993	#3552:12
