threat_actor	infrastructure
#3140:5	#3898:5
#3156:4	#3905:3
#3160:3	#3915:2
#3177:0	#3922:2
#3164:3	#3915:5
#3164:8	#3903:6
#3167:7	#3929:5
#3158:2	#3899:0
#3150:3	#3914:6
#3168:1	#3909:3
#3175:0	#3937:5
