indicator	malware
#3291:582	#4284:1
#3266:2334	#4479:0
#3270:168	#4358:1
#3278:3163	#4272:1
#3282:2251	#4486:0
#3264:1415	#4259:0
#3286:2001	#4540:0
#3286:753	#4264:1
#3281:1918	#4258:0
#3278:86	#4480:0
#3272:422	#4266:0
#3283:1004	#4310:0
#3269:2165	#4282:1
#3273:2916	#4272:1
#3281:837	#4284:1
#3294:2412	#4262:1
#3296:170	#4579:0
#3268:1417	#4263:1
#3264:2581	#4341:1
#3274:2993	#4258:2
#3261:1500	#4284:1
#3297:2493	#4284:1
#3289:1167	#4579:0
#3288:1584	#4265:0
#3262:751	#4392:0
#3261:2828	#4393:0
#3293:1330	#4265:0
#3291:2163	#4283:0
#3259:256	#4587:0
#3290:421	#4264:1
#3276:1085	#4486:0
#3289:3160	#4289:1
#3282:1502	#4298:0
#3276:171	#4348:0
#3272:2167	#4317:0
#3292:2248	#4383:0
#3280:1418	#4259:0
#3282:170	#4479:0
#3292:249	#4565:0
#3276:1084	#4265:0
#3259:419	#4279:0
#3271:3076	#4279:0
#3282:255	#4579:0
#3292:3245	#4545:0
#3294:1582	#4342:0
#3282:2749	#4386:0
#3291:1745	#4350:0
#3262:1913	#4359:1
#3296:916	#4315:0
#3266:2083	#4545:0
#3285:2161	#4305:0
#3263:1084	#4360:1
#3278:1415	#4265:0
#3275:2749	#4279:1
#3292:2912	#4265:0
#3260:1417	#4366:0
#3283:1004	#4283:1
#3298:3240	#4273:0
#3297:1997	#4265:0
#3266:2084	#4271:0
#3285:2577	#4259:2
#3280:2332	#4279:0
#3275:2244	#4279:1
#3260:1998	#4284:1
#3260:2915	#4263:2
#3289:916	#4345:0
#3294:2251	#4276:0
#3283:1168	#4348:0
#3289:338	#4276:1
#3266:3161	#4418:0
#3289:2250	#4259:0
#3277:1331	#4299:0
#3266:1004	#4461:1
#3294:2168	#4272:1
#3286:2327	#4550:0
#3276:999	#4283:1
#3262:998	#4274:0
#3290:838	#4367:0
#3265:1664	#4579:0
#3263:2085	#4322:0
#3265:922	#4466:0
#3259:667	#4338:0
#3287:85	#4287:0
#3266:2909	#4475:0
#3279:420	#4279:1
#3280:333	#4274:1
#3285:2328	#4310:0
#3290:1333	#4359:0
#3290:417	#4279:1
#3275:921	#4283:1
#3287:3	#4359:1
#3274:3245	#4283:0
#3260:2744	#4579:0
#3293:2827	#4320:0
#3269:2248	#4370:0
#3265:7	#4309:0
#3269:753	#4265:0
#3291:921	#4271:0
#3271:2578	#4287:0
#3275:503	#4279:1
#3280:589	#4265:0
#3280:753	#4258:0
#3298:3159	#4550:0
#3279:2659	#4265:0
#3276:3247	#4264:1
#3283:837	#4323:0
#3279:2332	#4279:0
#3264:2251	#4347:1
#3283:256	#4350:0
#3260:416	#4258:2
#3297:2580	#4265:0
#3270:3077	#4271:1
#3275:1164	#4465:1
#3292:3079	#4264:1
#3275:3076	#4268:0
#3291:84	#4293:1
#3277:1330	#4274:0
#3281:170	#4283:1
#3289:2666	#4398:0
#3269:3162	#4297:0
#3277:1829	#4264:1
#3279:1919	#4265:1
#3263:1253	#4358:1
#3265:1996	#4342:0
#3267:2417	#4339:1
#3296:1662	#4265:0
#3282:1586	#4386:0
#3272:587	#4579:0
#3267:1831	#4258:0
#3265:2161	#4465:1
#3270:1082	#4282:0
#3298:1001	#4272:0
#3282:504	#4347:1
#3278:2831	#4383:0
#3293:333	#4299:0
#3292:1828	#4264:1
#3279:1586	#4386:0
#3290:90	#4279:1
#3274:2084	#4383:0
#3280:917	#4269:0
#3298:1746	#4356:0
#3271:1	#4273:0
#3283:1165	#4386:0
#3294:668	#4370:0
#3265:1254	#4271:0
#3292:1087	#4272:1
#3270:1833	#4461:0
#3286:1416	#4367:0
#3259:2578	#4319:0
#3286:339	#4272:1
#3275:2746	#4265:0
#3298:1498	#4284:1
#3294:838	#4277:1
#3282:423	#4264:1
#3290:1503	#4265:0
#3277:919	#4353:1
#3279:1413	#4276:1
#3270:1251	#4566:0
#3280:1585	#4311:0
#3297:499	#4283:0
#3297:2330	#4264:1
#3283:1662	#4265:0
#3294:833	#4279:1
#3292:2332	#4259:0
#3284:1249	#4265:0
#3288:253	#4465:1
#3292:2994	#4358:1
#3297:253	#4563:0
#3290:3079	#4347:1
#3284:2500	#4587:0
#3269:998	#4391:0
#3262:2248	#4579:0
#3263:2577	#4477:0
#3287:3243	#4341:1
#3280:1912	#4274:1
#3259:1666	#4263:2
#3280:3075	#4262:1
#3264:1914	#4297:0
#3259:2414	#4353:0
#3280:2749	#4265:0
#3292:2498	#4367:0
#3286:2416	#4279:1
#3271:2995	#4367:0
#3265:3081	#4264:1
#3270:2582	#4341:1
#3265:87	#4579:0
#3260:1751	#4579:0
#3292:2913	#4371:0
#3294:2743	#4264:0
#3277:838	#4265:1
#3275:3165	#4287:0
#3282:3077	#4274:0
#3271:83	#4284:1
#3274:668	#4346:1
#3293:2497	#4272:0
#3287:2164	#4354:0
#3289:1746	#4265:1
#3275:339	#4265:0
#3296:3159	#4367:0
#3283:916	#4283:0
#3278:2749	#4265:0
#3281:836	#4297:1
#3271:2161	#4579:0
#3275:1084	#4282:0
#3285:2414	#4265:0
#3262:2660	#4271:0
#3267:1998	#4297:1
#3290:3160	#4579:0
#3280:1419	#4347:1
#3280:1663	#4265:0
#3280:2081	#4271:1
#3265:338	#4265:0
#3272:587	#4370:0
#3269:1913	#4279:0
#3288:3160	#4370:0
#3279:1833	#4326:0
#3282:920	#4496:0
#3291:2912	#4370:0
#3269:2583	#4580:0
#3295:249	#4288:1
#3297:1248	#4264:1
#3295:83	#4579:0
#3259:256	#4359:1
#3261:2417	#4265:0
#3263:2001	#4284:1
#3278:2912	#4269:0
#3266:1996	#4265:0
#3261:0	#4305:0
#3294:2581	#4579:0
#3264:1168	#4462:0
#3281:1	#4265:0
#3296:921	#4342:0
#3295:1420	#4308:0
#3277:90	#4265:0
#3259:2743	#4265:0
#3265:2082	#4359:1
#3261:1418	#4284:1
#3270:3165	#4316:0
#3276:2333	#4339:1
#3259:2000	#4420:0
#3298:2413	#4258:0
#3287:255	#4391:0
#3284:1752	#4342:0
#3268:2750	#4461:1
#3271:2498	#4265:0
#3274:585	#4264:1
#3272:2250	#4301:0
#3274:2415	#4264:1
#3259:250	#4273:0
#3273:1249	#4265:0
#3278:1247	#4300:0
#3262:1829	#4358:1
#3277:253	#4322:0
#3264:1418	#4287:0
#3276:419	#4286:1
#3260:1083	#4349:1
#3275:2327	#4275:1
#3286:336	#4265:0
#3289:1835	#4276:0
#3291:2579	#4283:0
#3291:2166	#4265:0
#3271:1336	#4282:0
#3266:1082	#4541:0
#3284:918	#4297:1
#3292:2168	#4269:0
#3266:2083	#4356:0
#3297:585	#4382:0
#3287:1330	#4259:2
#3298:2078	#4265:0
#3264:1168	#4466:0
#3261:2583	#4288:1
#3283:2663	#4367:0
#3268:3248	#4340:0
#3260:585	#4558:0
#3280:88	#4265:0
#3265:2167	#4314:0
#3275:1748	#4261:0
#3281:1248	#4359:1
#3264:582	#4264:1
#3287:1829	#4341:1
#3293:2250	#4488:0
#3280:1746	#4287:0
#3276:338	#4341:1
#3276:1335	#4274:0
#3268:836	#4265:0
#3265:2910	#4265:0
#3293:1336	#4279:1
#3273:1001	#4259:0
#3295:2912	#4274:1
#3265:170	#4370:0
#3272:1082	#4360:1
#3296:1416	#4301:0
#3281:422	#4276:1
#3261:1752	#4265:0
#3294:916	#4356:0
#3260:172	#4339:1
#3267:2914	#4264:1
#3279:256	#4350:0
#3292:998	#4264:1
#3288:418	#4358:1
#3278:172	#4265:0
#3260:253	#4265:0
#3280:2661	#4281:0
#3271:2083	#4287:0
#3297:2579	#4272:1
#3295:2826	#4269:0
#3287:914	#4265:1
#3277:1916	#4264:0
#3283:3076	#4265:0
#3271:837	#4307:0
#3278:2333	#4354:0
#3272:1334	#4259:0
#3272:503	#4492:0
#3292:2167	#4269:0
#3293:2748	#4367:0
#3277:171	#4265:1
#3270:3160	#4299:0
#3277:1996	#4272:1
#3285:250	#4272:1
#3287:2164	#4272:1
#3290:666	#4263:0
#3259:3075	#4282:0
#3283:587	#4258:0
#3267:420	#4269:0
#3260:2331	#4370:0
#3269:2001	#4284:1
#3268:2996	#4356:0
#3268:3241	#4265:0
#3261:2911	#4264:0
#3267:2745	#4307:0
#3260:2829	#4282:1
#3275:1746	#4265:0
#3267:3163	#4279:0
#3284:1749	#4265:0
#3292:2164	#4469:1
#3298:2498	#4367:0
#3266:2166	#4342:0
#3287:2250	#4287:0
#3274:6	#4282:0
#3279:2992	#4338:1
#3259:3081	#4259:0
#3277:1419	#4295:1
#3291:2579	#4568:0
#3293:1170	#4264:1
#3295:1417	#4344:1
#3274:1413	#4286:1
#3289:1581	#4286:1
#3291:1912	#4271:0
#3266:2333	#4275:1
#3290:500	#4354:0
#3264:1248	#4427:0
#3293:754	#4470:0
#3280:1664	#4465:1
#3287:1164	#4265:1
#3261:2826	#4289:1
#3270:2332	#4541:0
#3264:1164	#4292:1
#3294:1167	#4386:0
#3269:2248	#4265:0
#3290:2496	#4287:0
#3260:1001	#4277:1
#3273:2084	#4370:0
#3293:415	#4283:1
#3298:2329	#4259:2
#3290:2333	#4282:0
#3274:670	#4268:0
#3270:2082	#4280:0
#3285:1751	#4284:1
#3283:1749	#4479:0
#3278:2498	#4265:0
#3279:418	#4265:0
#3269:4	#4458:1
#3289:1917	#4298:0
#3264:918	#4264:0
#3267:1171	#4579:0
#3273:2081	#4329:0
#3263:1504	#4284:1
#3295:2	#4339:1
#3287:1834	#4279:0
#3266:2664	#4259:0
#3275:340	#4272:1
#3285:2825	#4383:0
#3289:3076	#4282:0
#3260:2666	#4432:0
#3263:756	#4265:0
#3266:2747	#4358:1
#3270:670	#4458:0
#3292:1170	#4259:2
#3281:1248	#4587:0
#3266:671	#4265:0
#3276:2161	#4358:1
#3274:1998	#4344:1
#3272:1919	#4295:1
#3277:4	#4307:0
#3298:333	#4264:1
#3289:2416	#4367:0
#3287:1167	#4538:0
#3295:1747	#4265:0
#3263:1746	#4265:0
#3295:415	#4339:1
#3260:837	#4342:0
#3290:2411	#4259:2
#3267:1669	#4367:0
#3278:2742	#4310:0
#3265:1500	#4370:0
#3296:1829	#4274:0
#3288:2746	#4579:0
#3260:1912	#4370:0
#3285:1746	#4344:1
#3260:1083	#4272:0
#3271:2332	#4383:0
#3259:0	#4274:1
#3271:2249	#4283:0
#3272:499	#4356:0
#3268:1664	#4279:1
#3268:2913	#4370:0
#3283:1165	#4358:1
#3264:2	#4265:0
#3283:1749	#4271:0
#3274:1083	#4312:0
#3286:669	#4279:1
#3270:1919	#4362:0
#3262:922	#4489:0
#3265:922	#4340:1
#3263:2247	#4282:0
#3264:170	#4283:1
#3282:167	#4286:0
#3276:1165	#4259:2
#3296:1420	#4354:0
#3290:499	#4367:0
#3261:1831	#4458:1
#3294:1416	#4265:0
#3273:257	#4259:0
#3284:339	#4540:0
#3261:2828	#4339:1
#3297:1249	#4284:1
#3286:3074	#4393:0
#3265:837	#4259:2
#3269:1085	#4265:1
#3270:3076	#4265:0
#3293:1087	#4373:0
#3276:421	#4350:0
#3271:1168	#4579:0
#3294:2991	#4579:0
#3284:502	#4265:0
#3288:251	#4277:1
#3278:748	#4269:0
#3292:1169	#4348:0
#3269:1085	#4549:0
#3279:416	#4288:0
#3277:1835	#4579:0
#3263:2994	#4475:0
#3274:1579	#4268:0
#3268:2743	#4554:0
#3259:2412	#4265:0
#3259:335	#4479:0
#3296:2831	#4265:0
#3259:1416	#4262:1
#3262:2915	#4491:0
#3272:1248	#4265:0
#3298:2332	#4269:1
#3260:1081	#4295:1
#3279:3242	#4307:0
#3280:3242	#4276:0
#3287:1330	#4367:0
#3272:1169	#4284:1
#3264:1085	#4272:1
#3265:1997	#4356:0
#3265:2494	#4288:1
#3276:671	#4274:1
#3264:256	#4324:0
#3286:2413	#4265:0
#3283:837	#4283:0
#3297:1002	#4264:1
#3281:2998	#4370:0
#3298:1828	#4259:2
#3272:2327	#4283:0
#3270:1580	#4265:1
#3266:749	#4479:0
#3282:2168	#4469:1
#3298:2579	#4280:0
#3275:915	#4350:0
#3280:3161	#4292:1
#3272:1414	#4272:1
#3274:254	#4302:0
#3285:2831	#4305:0
#3273:1668	#4489:0
#3298:748	#4265:0
#3280:833	#4259:0
#3285:2499	#4341:1
#3262:919	#4348:0
#3279:1751	#4413:0
#3278:1497	#4263:0
#3282:2583	#4259:2
#3275:334	#4469:0
#3267:1749	#4277:1
#3259:1914	#4265:0
#3285:332	#4285:0
#3291:1664	#4354:0
#3279:1503	#4282:0
#3287:2164	#4474:0
#3279:832	#4292:1
#3261:1580	#4298:0
#3292:339	#4568:0
#3289:1084	#4467:0
#3266:251	#4374:0
#3265:504	#4292:1
#3271:167	#4274:1
#3261:1420	#4367:0
#3284:3160	#4305:0
#3277:2332	#4284:1
#3283:3161	#4274:0
#3283:173	#4350:0
#3276:1334	#4579:0
#3259:1253	#4461:1
#3293:1584	#4265:0
#3269:582	#4467:0
#3288:1413	#4370:0
#3273:418	#4305:0
#3267:586	#4279:0
#3273:3247	#4462:0
#3282:499	#4265:0
#3294:751	#4269:0
#3272:3164	#4277:1
#3280:2583	#4286:1
#3273:3163	#4568:0
#3286:2165	#4350:0
#3295:2997	#4458:1
#3297:1579	#4338:0
#3289:832	#4259:0
#3295:419	#4273:0
#3260:1248	#4343:0
#3284:2413	#4264:1
#3285:2499	#4287:0
#3281:2329	#4271:0
#3262:1253	#4465:1
#3288:2078	#4275:1
#3269:421	#4265:0
#3271:2494	#4271:1
#3268:2163	#4262:1
#3288:2000	#4474:0
#3294:1251	#4422:0
#3276:831	#4356:0
#3291:670	#4259:0
#3284:5	#4284:1
#3288:1415	#4395:0
#3288:2332	#4367:0
#3293:1834	#4548:0
#3284:1082	#4261:0
#3290:2914	#4345:0
#3298:836	#4287:0
#3294:1415	#4265:0
#3268:2081	#4274:1
#3262:1332	#4347:1
#3279:2580	#4282:0
#3297:2164	#4258:0
#3274:1417	#4370:0
#3264:1917	#4264:0
#3283:584	#4465:1
#3268:89	#4275:1
#3266:2665	#4292:1
#3274:1579	#4361:0
#3264:1503	#4299:0
#3280:1749	#4378:0
#3274:2166	#4269:0
#3264:2832	#4269:0
#3272:1247	#4270:0
#3274:1998	#4305:0
#3264:672	#4265:0
#3295:1662	#4354:0
#3296:1002	#4259:0
#3274:1664	#4265:1
#3277:1496	#4265:0
#3276:334	#4393:0
#3274:1579	#4373:0
#3279:1833	#4350:0
#3277:1581	#4284:1
#3289:250	#4579:0
#3278:1580	#4370:0
#3290:2411	#4311:0
#3277:1835	#4265:0
#3261:1915	#4269:1
#3282:1085	#4560:0
#3293:2251	#4347:1
#3278:2334	#4351:1
#3275:1669	#4280:1
#3264:2497	#4276:0
#3285:2167	#4289:1
#3266:1914	#4268:0
#3261:2745	#4289:1
#3290:1503	#4265:1
#3289:2747	#4265:1
#3269:2909	#4348:0
#3279:417	#4269:0
#3267:2	#4367:0
#3286:750	#4286:1
#3262:754	#4419:0
#3275:2827	#4367:0
#3280:2500	#4344:1
#3267:2909	#4282:0
#3283:2416	#4264:0
#3264:3078	#4265:0
#3261:333	#4391:0
#3285:2997	#4491:0
#3291:1580	#4356:0
#3263:1833	#4265:0
#3293:2500	#4579:0
#3292:2495	#4579:0
#3277:2333	#4264:1
#3282:5	#4262:1
#3290:1250	#4462:0
#3280:337	#4269:0
#3266:2250	#4383:0
#3262:503	#4579:0
#3293:334	#4265:0
#3295:2165	#4284:1
#3281:753	#4391:0
#3260:501	#4265:0
#3261:2995	#4265:0
#3277:2416	#4266:0
#3296:2166	#4258:0
#3264:502	#4322:0
#3260:2412	#4284:1
#3283:2743	#4259:0
#3259:3078	#4265:0
#3270:505	#4272:1
#3269:1667	#4287:0
#3291:1166	#4273:0
#3293:2662	#4273:0
#3265:2250	#4264:1
#3296:1831	#4287:0
#3269:419	#4284:1
#3287:2246	#4269:0
#3277:2992	#4297:1
#3280:672	#4568:0
#3278:335	#4276:1
#3260:2995	#4338:0
#3295:835	#4279:1
#3298:3080	#4274:1
#3276:749	#4289:1
#3281:921	#4356:0
#3292:2579	#4344:1
#3291:2251	#4305:0
#3275:2993	#4276:1
#3259:1581	#4579:0
#3279:588	#4489:0
#3288:669	#4371:0
#3294:3079	#4265:0
#3260:1168	#4467:0
#3269:1416	#4265:0
#3267:586	#4283:0
#3271:3244	#4265:0
#3278:915	#4294:1
#3292:2085	#4461:0
#3263:3246	#4265:0
#3293:2913	#4307:0
#3283:2826	#4265:0
#3272:3160	#4270:0
#3259:835	#4265:0
#3286:749	#4458:0
#3281:503	#4279:1
#3298:90	#4540:0
#3280:1004	#4265:0
#3274:1998	#4269:0
#3277:2082	#4474:0
#3296:1332	#4259:0
#3294:3247	#4486:0
#3280:167	#4287:0
#3287:672	#4265:0
#3269:1084	#4264:0
#3292:2415	#4279:1
#3274:339	#4350:0
#3259:1664	#4479:0
#3271:1250	#4305:0
#3289:86	#4393:0
#3282:1834	#4343:0
#3282:253	#4300:0
#3286:88	#4287:0
#3284:2163	#4287:0
#3276:2662	#4265:0
#3275:2831	#4264:1
#3281:1585	#4269:0
#3288:499	#4269:0
#3293:172	#4366:0
#3269:1582	#4259:2
#3264:2168	#4276:1
#3265:2578	#4282:1
#3289:1413	#4587:0
#3269:1916	#4393:0
#3262:2250	#4350:0
#3277:1502	#4301:0
#3292:2329	#4286:0
#3290:256	#4344:1
#3263:1917	#4265:0
#3292:500	#4281:0
#3282:585	#4265:0
#3263:2745	#4279:1
#3297:2328	#4314:0
#3283:2250	#4380:0
#3261:583	#4286:1
#3288:3162	#4265:1
#3286:1085	#4367:0
#3292:6	#4311:0
#3265:2829	#4367:0
#3273:2909	#4489:0
#3269:2078	#4271:0
#3284:1749	#4579:0
#3282:3162	#4299:0
#3268:1667	#4265:0
#3287:1752	#4277:1
#3271:2251	#4320:0
#3264:998	#4484:0
#3262:2085	#4300:0
#3282:1914	#4279:1
#3269:999	#4347:1
#3272:2161	#4258:0
#3294:2499	#4297:0
#3282:3243	#4458:0
#3263:421	#4467:0
#3296:2080	#4265:0
#3266:2412	#4265:0
#3267:835	#4543:0
#3292:2497	#4287:0
#3276:1503	#4497:0
#3275:5	#4276:0
#3277:2250	#4264:1
#3293:3158	#4271:0
#3286:917	#4259:2
#3293:166	#4419:0
#3283:335	#4320:0
#3288:1582	#4313:0
#3280:1997	#4306:0
#3298:2083	#4370:0
#3281:1000	#4297:1
#3274:1503	#4259:2
#3263:2248	#4341:0
#3274:1746	#4463:0
#3295:503	#4320:0
#3279:168	#4341:1
#3278:87	#4265:0
#3280:2413	#4358:1
#3260:172	#4393:0
#3259:1088	#4350:1
#3272:750	#4341:0
#3271:87	#4287:0
#3270:2992	#4347:1
#3289:669	#4265:1
#3284:916	#4347:1
#3297:1418	#4271:1
#3289:2000	#4265:0
#3297:6	#4272:0
#3276:670	#4347:1
#3272:2247	#4282:0
#3293:1916	#4264:0
#3284:2578	#4386:0
#3272:1085	#4579:0
#3272:666	#4272:1
#3263:2250	#4551:0
#3268:669	#4283:0
#3266:338	#4389:0
#3294:88	#4269:0
#3293:1998	#4274:0
#3264:672	#4370:0
#3277:420	#4274:1
#3271:2494	#4362:0
#3274:339	#4259:0
#3288:2163	#4269:0
#3298:2082	#4398:0
#3297:1001	#4286:1
#3259:2995	#4284:1
#3259:2911	#4279:1
#3282:3079	#4541:0
#3280:3161	#4558:0
#3264:2909	#4288:1
#3270:2415	#4272:0
#3271:416	#4389:0
#3272:170	#4282:0
#3266:665	#4370:0
#3264:2415	#4292:1
#3285:251	#4338:1
#3291:3074	#4345:1
#3280:1331	#4265:0
#3259:3081	#4326:0
#3260:2909	#4265:0
#3262:253	#4269:1
#3282:755	#4275:0
#3260:837	#4481:0
#3282:2665	#4265:0
#3271:419	#4265:0
#3268:167	#4281:0
#3272:2163	#4297:1
#3281:1254	#4475:0
#3261:1995	#4579:0
#3272:2495	#4302:0
#3263:919	#4373:0
#3297:914	#4265:0
#3275:1247	#4579:0
#3297:1166	#4282:0
#3288:422	#4283:1
#3296:585	#4283:0
#3273:1581	#4295:1
#3297:339	#4287:0
#3285:2083	#4269:0
#3282:1171	#4265:0
#3268:3248	#4302:0
#3293:1917	#4263:1
#3264:837	#4272:0
#3264:922	#4275:0
#3284:1500	#4276:1
#3285:1835	#4259:0
#3296:416	#4283:1
#3261:1995	#4265:0
#3266:170	#4330:0
#3280:1336	#4485:0
#3259:1835	#4431:0
#3286:1250	#4258:0
#3284:1337	#4489:0
#3267:3163	#4323:0
#3289:1752	#4356:1
#3269:919	#4269:0
#3266:503	#4259:0
#3263:1084	#4268:0
#3298:90	#4265:0
#3281:422	#4263:0
#3298:4	#4265:0
#3283:1919	#4347:1
#3279:2661	#4294:1
#3269:999	#4284:1
#3283:1168	#4270:0
#3275:333	#4259:0
#3266:1004	#4289:1
#3285:2084	#4374:0
#3283:5	#4259:2
#3290:505	#4579:0
#3268:1836	#4277:0
#3269:83	#4312:0
#3284:672	#4486:0
#3272:2081	#4340:1
#3285:1497	#4265:0
#3293:2664	#4264:1
#3265:1749	#4354:0
#3261:168	#4549:0
#3276:2415	#4265:0
#3284:1663	#4279:0
#3259:1915	#4265:0
#3266:1169	#4279:1
#3288:755	#4287:0
#3294:2417	#4479:0
#3283:1086	#4279:1
#3260:666	#4480:0
#3292:2084	#4259:2
#3272:1502	#4465:1
#3266:2663	#4354:0
#3267:420	#4467:0
#3263:1751	#4370:0
#3277:2330	#4265:0
#3266:2499	#4297:1
#3276:3079	#4465:1
#3293:2416	#4300:0
#3268:2329	#4265:0
#3293:170	#4266:0
#3260:1083	#4341:0
#3297:1579	#4298:0
#3277:1087	#4284:1
#3285:1249	#4271:0
#3268:2247	#4579:0
#3298:2244	#4264:1
#3295:83	#4265:0
#3272:1003	#4287:0
#3260:2162	#4262:2
#3289:1413	#4359:1
#3270:839	#4265:0
#3296:749	#4270:0
#3265:2251	#4311:0
#3290:2914	#4271:0
#3294:2748	#4264:1
#3289:2909	#4259:2
#3281:914	#4579:0
#3271:0	#4258:0
#3283:3159	#4283:1
#3268:1501	#4310:0
#3264:1254	#4297:1
#3270:2415	#4341:0
#3290:915	#4264:1
#3271:2994	#4372:0
#3293:83	#4264:1
#3293:1913	#4277:1
#3292:2166	#4358:1
#3290:831	#4269:0
#3288:672	#4275:0
#3298:1167	#4479:0
#3265:756	#4277:1
#3298:1832	#4357:0
#3276:90	#4367:0
#3287:1662	#4386:0
#3278:1496	#4287:0
#3274:1916	#4314:0
#3283:1331	#4283:1
#3271:2078	#4348:0
#3292:1417	#4265:0
#3283:2827	#4491:0
#3265:1337	#4297:1
#3282:1585	#4274:1
#3272:84	#4359:0
#3275:2415	#4299:0
#3289:2578	#4282:1
#3280:1918	#4264:1
#3268:85	#4566:0
#3267:2999	#4458:0
#3285:3081	#4265:0
#3297:755	#4489:0
#3285:2411	#4265:0
#3293:1828	#4303:0
#3274:751	#4283:0
#3293:4	#4273:0
#3272:750	#4349:1
#3272:750	#4273:0
#3262:2080	#4286:1
#3282:504	#4284:1
#3269:2744	#4475:0
#3280:2167	#4265:1
#3286:2665	#4284:1
#3282:2494	#4274:1
#3270:752	#4287:0
#3270:1912	#4579:0
#3290:1415	#4279:1
#3276:2245	#4286:0
#3287:914	#4435:0
#3297:666	#4318:0
#3292:2498	#4259:2
#3286:1829	#4274:0
#3261:1584	#4279:0
#3259:334	#4293:0
#3263:2079	#4271:0
#3288:1086	#4287:1
#3287:3245	#4344:1
#3287:1666	#4265:0
#3281:2664	#4393:0
#3259:1748	#4265:1
#3261:1415	#4275:0
#3292:167	#4287:0
#3268:2577	#4264:1
#3286:1663	#4463:1
#3276:89	#4350:0
#3293:3243	#4292:1
#3262:339	#4350:0
#3297:2416	#4579:0
#3271:2998	#4279:1
#3282:2582	#4469:1
#3265:1414	#4277:1
#3298:1996	#4264:1
#3261:2084	#4370:0
#3276:2081	#4265:0
#3282:1085	#4284:1
#3276:1085	#4265:0
#3264:2251	#4284:1
#3274:1998	#4467:0
#3284:419	#4297:0
#3276:1582	#4265:0
#3268:1081	#4265:0
#3284:2500	#4264:0
#3294:334	#4279:1
#3290:86	#4269:0
#3271:2162	#4360:1
#3280:2412	#4339:1
#3278:2500	#4356:0
#3263:2250	#4570:0
#3286:1750	#4277:1
#3278:585	#4259:2
#3264:834	#4265:0
#3267:1918	#4265:0
#3297:921	#4368:0
#3287:336	#4487:0
#3260:1083	#4570:0
#3282:338	#4367:0
#3266:1995	#4287:1
#3266:920	#4274:1
#3262:2916	#4264:1
#3298:2579	#4306:0
#3259:749	#4259:2
#3295:1832	#4264:1
#3279:1002	#4264:1
#3269:833	#4393:0
#3259:168	#4287:0
#3279:2496	#4461:0
#3292:2328	#4265:0
#3279:249	#4370:0
#3261:1003	#4540:0
#3286:1745	#4489:0
#3290:2583	#4559:0
#3288:834	#4394:0
#3296:3247	#4265:0
#3271:89	#4465:1
#3275:672	#4274:1
#3296:255	#4579:0
#3267:2832	#4279:1
#3275:3158	#4579:0
#3264:1502	#4279:1
#3287:2497	#4279:1
#3269:1250	#4286:1
#3284:3080	#4422:0
#3268:2745	#4284:1
#3284:2166	#4284:1
#3261:500	#4277:1
#3288:3077	#4380:0
#3276:171	#4270:0
#3282:419	#4358:1
#3264:1167	#4287:0
#3290:3243	#4265:0
#3260:254	#4322:0
#3272:1749	#4370:0
#3280:2083	#4579:0
#3297:1335	#4275:0
#3265:2992	#4284:1
#3289:3243	#4363:0
#3269:1499	#4502:0
#3276:1753	#4464:0
#3284:90	#4287:0
#3263:1747	#4258:0
#3282:1336	#4570:0
#3288:1996	#4258:0
#3293:2497	#4273:0
#3296:920	#4579:0
#3283:2666	#4469:1
#3283:417	#4287:0
#3293:89	#4356:0
#3263:2743	#4386:0
#3282:1665	#4475:0
#3277:1003	#4265:0
#3289:90	#4265:0
#3275:3246	#4279:0
#3264:2499	#4277:1
#3280:1997	#4280:0
#3276:1996	#4274:1
#3296:999	#4541:0
#3262:2498	#4465:1
#3273:1831	#4458:0
#3274:672	#4265:0
#3269:1170	#4356:0
#3271:2078	#4270:0
#3291:917	#4474:0
#3274:1332	#4458:1
#3270:1584	#4295:1
#3297:339	#4341:1
#3273:7	#4579:0
#3295:89	#4265:1
#3293:2078	#4265:1
#3283:1995	#4265:0
#3290:3242	#4276:1
#3267:999	#4265:0
#3291:2663	#4287:1
#3289:1918	#4469:1
#3289:1085	#4283:1
#3296:1829	#4359:0
#3275:1914	#4579:0
#3285:1750	#4476:0
#3268:1247	#4265:0
#3292:1252	#4265:1
#3273:1998	#4354:0
#3259:2082	#4281:0
#3285:1002	#4464:1
#3260:253	#4370:0
#3288:2995	#4579:0
#3284:671	#4274:1
#3259:2494	#4269:0
#3284:2582	#4459:0
#3263:1501	#4367:0
#3265:999	#4367:0
#3260:2915	#4351:1
#3279:1000	#4265:0
#3265:755	#4359:1
#3272:1668	#4367:0
#3276:3246	#4265:0
#3277:1004	#4547:0
#3277:2334	#4269:0
#3281:1664	#4265:0
#3288:2082	#4344:1
#3293:333	#4272:1
#3293:2249	#4345:0
#3291:1998	#4265:0
#3261:2331	#4279:1
#3278:1082	#4265:0
#3261:502	#4349:1
#3295:252	#4265:0
#3286:748	#4429:0
#3285:1252	#4273:0
#3276:2251	#4316:0
#3297:253	#4586:0
#3273:2660	#4286:0
#3274:2576	#4292:0
#3282:1584	#4274:0
#3272:168	#4556:0
#3294:1911	#4359:1
#3278:255	#4486:0
#3280:339	#4463:0
#3271:86	#4265:0
#3274:172	#4281:0
#3295:1169	#4287:0
#3260:420	#4265:0
#3290:1248	#4265:0
#3283:3078	#4273:0
#3288:1335	#4297:1
