indicator	malware
#3298:1750	#4265:0
#3283:250	#4465:1
#3288:2745	#4265:0
#3284:1997	#4491:0
#3288:252	#4272:1
#3261:2579	#4283:0
#3270:1753	#4266:0
#3277:1579	#4287:0
#3260:1417	#4260:1
#3283:1914	#4377:0
#3261:84	#4291:0
#3277:2162	#4269:0
#3295:1915	#4265:0
#3276:2662	#4579:0
#3269:3082	#4579:0
#3261:917	#4265:0
#3282:4	#4279:1
#3283:1999	#4324:0
#3280:3244	#4264:1
#3288:421	#4343:0
#3281:1747	#4274:1
#3260:2498	#4367:0
#3259:667	#4258:0
#3296:3159	#4259:2
#3271:2333	#4467:0
#3282:3162	#4354:0
#3293:1834	#4426:0
#3293:2244	#4296:0
#3277:85	#4287:0
#3298:418	#4467:0
#3274:918	#4264:1
#3284:250	#4465:1
#3294:1496	#4265:0
#3282:2161	#4297:1
#3277:2244	#4367:0
#3288:339	#4387:0
#3259:2827	#4279:1
#3274:2913	#4356:0
#3284:6	#4462:0
#3289:2413	#4272:1
#3269:1748	#4540:0
#3270:1664	#4284:1
#3283:1413	#4274:0
#3260:1663	#4265:0
#3294:2332	#4262:1
#3280:921	#4292:0
#3267:755	#4259:2
#3259:2996	#4469:1
#3288:2825	#4265:0
#3270:2167	#4365:0
#3278:2497	#4281:0
#3298:2328	#4287:0
#3286:1664	#4265:0
#3260:1418	#4287:0
#3277:1170	#4393:0
#3282:499	#4579:0
#3283:3076	#4370:0
#3273:2410	#4463:1
#3298:1664	#4287:1
#3289:170	#4279:1
#3278:1831	#4261:2
#3284:1665	#4279:1
#3261:1082	#4269:0
#3291:1166	#4272:0
#3271:3165	#4475:0
#3280:2910	#4370:0
#3268:1419	#4348:0
#3296:3240	#4272:1
#3296:1751	#4269:0
#3282:1748	#4259:2
#3289:1251	#4265:0
#3287:2001	#4341:0
#3268:2250	#4265:0
#3286:1166	#4282:0
#3277:84	#4279:1
#3277:504	#4420:0
#3274:1083	#4292:1
#3288:997	#4264:0
#3273:2995	#4370:0
#3263:2581	#4282:0
#3276:2992	#4263:2
#3263:503	#4358:1
#3294:166	#4350:0
#3283:250	#4274:1
#3283:1336	#4307:0
#3286:669	#4463:0
#3273:1002	#4367:0
#3291:171	#4540:0
#3267:666	#4283:0
#3261:502	#4341:0
#3260:2251	#4265:1
#3262:1996	#4297:0
#3262:3163	#4276:1
#3280:1335	#4265:1
#3288:755	#4341:1
#3261:1086	#4367:0
#3298:2993	#4265:0
#3292:88	#4469:1
#3293:2078	#4274:1
#3291:755	#4347:1
#3264:1002	#4275:0
#3272:2001	#4284:1
#3261:1917	#4297:1
#3265:2749	#4283:1
#3277:1834	#4265:0
#3260:2828	#4356:0
#3274:172	#4271:0
#3298:1081	#4480:0
#3287:1664	#4316:0
#3281:1249	#4370:0
#3263:2085	#4270:0
#3279:2914	#4259:0
#3270:256	#4305:0
#3282:998	#4265:0
#3289:834	#4363:0
#3293:339	#4287:0
#3293:1252	#4544:0
#3287:672	#4370:0
#3262:1497	#4265:0
#3271:1419	#4265:0
#3279:339	#4316:0
#3284:3075	#4265:0
#3263:2085	#4348:0
#3298:837	#4279:1
#3282:3244	#4265:0
#3295:1330	#4287:0
#3290:2995	#4461:0
#3264:2000	#4378:0
#3265:2749	#4363:0
#3267:3160	#4287:0
#3279:1835	#4279:1
#3266:254	#4271:0
#3275:1749	#4341:0
#3281:3246	#4284:1
#3287:84	#4265:0
#3297:2164	#4298:0
#3284:423	#4270:1
#3276:421	#4259:0
#3298:338	#4277:1
#3293:251	#4265:0
#3274:2576	#4259:2
#3296:920	#4265:0
#3287:2744	#4305:0
#3270:1	#4282:0
#3264:833	#4389:0
#3279:585	#4264:1
#3271:86	#4486:0
#3266:1832	#4489:0
#3279:667	#4265:0
#3285:2912	#4458:0
#3263:5	#4259:0
#3272:1749	#4486:0
#3297:1081	#4284:1
#3270:2745	#4465:1
#3271:85	#4372:0
#3288:1419	#4323:0
#3269:2168	#4370:0
#3281:921	#4279:1
#3278:2498	#4579:0
#3265:3243	#4270:1
#3274:1004	#4279:1
#3293:2748	#4259:2
#3284:3158	#4264:1
#3272:3080	#4275:0
#3297:335	#4352:0
#3280:672	#4283:0
#3277:2002	#4279:1
#3289:670	#4287:0
#3294:666	#4264:1
#3285:2	#4284:1
#3284:2247	#4274:0
#3297:335	#4290:0
#3272:917	#4352:0
#3296:1416	#4341:1
#3286:1498	#4264:1
#3259:252	#4282:0
#3283:171	#4469:1
#3284:3080	#4269:0
#3260:2246	#4258:0
#3298:333	#4307:0
#3283:667	#4279:1
#3266:753	#4279:1
#3262:2577	#4277:1
#3261:2582	#4264:1
#3281:85	#4284:1
#3297:1746	#4265:0
#3289:3074	#4274:0
#3260:2081	#4265:0
#3265:6	#4305:0
#3282:1668	#4391:0
