course_of_action	attack_pattern
#3661:31	#3191:2
#272:13	#205:3
#3659:97	#3194:6
#272:13	#178:10
#3670:111	#3194:7
#249:63	#179:10
#3661:16	#3204:1
#3660:108	#3191:2
#3659:0	#3205:12
#259:39	#182:10
#3660:7	#3193:2
#3662:26	#3191:2
#272:15	#202:2
#3658:67	#3191:2
#3658:49	#3191:2
#3660:60	#3194:6
#264:47	#186:4
#256:80	#202:2
#3658:81	#3191:2
#3677:152	#3189:12
#3659:36	#3191:2
#3662:36	#3204:1
#285:3	#172:11
#3662:23	#3191:2
#249:63	#176:3
#3660:81	#3191:2
#266:47	#178:14
#3660:211	#3204:1
#281:59	#171:12
#279:70	#195:8
#3658:124	#3191:2
#3659:188	#3204:1
#274:40	#201:12
#257:29	#201:13
#277:19	#174:7
#257:25	#190:4
#3661:82	#3191:2
#3660:65	#3183:3
#272:23	#170:9
#282:30	#190:13
#3659:138	#3191:2
#3658:100	#3205:12
#3659:200	#3179:5
#275:93	#186:3
#264:22	#196:13
#252:5	#186:8
#274:78	#208:11
#3658:8	#3200:9
#3662:60	#3191:2
#3685:95	#3207:4
#282:10	#195:1
#284:29	#203:0
#280:93	#192:1
#274:78	#177:12
#257:34	#184:13
#3661:119	#3194:7
#254:72	#191:0
#3661:53	#3210:12
#249:42	#182:12
#287:9	#173:15
#249:35	#187:14
#264:22	#177:14
#3659:218	#3205:12
#274:50	#205:11
#3675:67	#3181:7
#267:24	#181:6
#287:20	#190:7
#3658:46	#3191:2
#3661:36	#3193:2
#278:99	#195:5
#254:47	#183:4
#282:30	#205:3
#3660:111	#3200:9
#285:3	#183:13
#274:73	#194:6
#279:41	#197:5
#262:20	#193:6
#3660:46	#3193:2
#279:34	#197:2
#286:71	#175:7
#3658:152	#3204:1
#254:47	#179:10
#254:48	#203:0
#3660:219	#3191:2
#3659:88	#3193:2
#3659:126	#3208:4
#272:13	#191:12
#3660:42	#3207:4
#279:35	#191:10
#3660:115	#3191:2
#267:11	#195:1
#3662:4	#3205:12
#262:48	#201:1
#3658:33	#3204:1
#3659:92	#3205:12
#279:67	#174:12
#3661:190	#3194:7
#281:77	#189:10
#272:23	#182:13
#275:3	#185:0
#3661:161	#3194:6
#275:3	#179:0
#275:3	#172:15
#3662:28	#3191:2
#3661:113	#3193:2
#254:40	#182:12
#287:55	#203:2
#3661:128	#3193:2
#259:52	#195:8
#3669:171	#3187:0
#278:99	#177:7
#3661:183	#3206:8
#3659:100	#3193:2
#3659:169	#3205:12
#3658:97	#3191:2
#3659:19	#3205:12
#3658:91	#3205:12
#272:15	#195:1
#279:58	#183:14
#272:23	#201:13
#3659:10	#3207:4
#3662:62	#3193:2
#272:13	#204:2
#274:78	#203:4
#3658:4	#3191:2
#3658:29	#3191:5
#272:26	#177:7
#274:78	#175:4
#260:94	#206:4
#272:13	#208:6
#3660:95	#3191:2
#259:51	#202:11
#271:72	#169:13
#272:23	#201:5
#278:99	#187:2
#286:71	#180:8
#254:40	#208:6
#274:78	#199:4
#281:62	#182:6
#3659:130	#3191:2
#256:84	#204:13
#252:24	#202:12
#3659:68	#3205:12
#3659:173	#3194:6
#3680:193	#3191:5
#261:89	#196:15
#3660:132	#3183:3
#287:50	#203:0
#259:50	#201:12
#3684:132	#3195:2
#282:28	#206:1
#3660:214	#3207:4
#272:26	#197:0
#264:12	#204:10
#3659:2	#3187:0
#278:99	#179:5
#3658:113	#3205:12
#260:94	#192:13
#272:11	#172:15
#272:23	#186:9
#3658:145	#3191:2
#282:25	#188:15
#268:98	#200:8
#3674:156	#3210:12
#3662:98	#3193:2
#276:64	#201:1
#3659:96	#3204:1
#3658:115	#3205:12
#3672:152	#3189:12
#262:20	#172:12
#254:47	#194:5
#3658:156	#3204:1
#3660:210	#3204:1
#256:82	#208:7
#264:22	#207:0
#282:10	#178:10
#3660:31	#3191:2
#282:28	#188:4
#3659:154	#3193:2
#249:57	#175:11
#3658:87	#3191:2
#256:80	#171:0
#3658:63	#3194:6
#267:43	#200:4
#281:88	#203:10
#256:80	#180:8
#279:32	#200:8
#287:55	#178:11
#3693:8	#3208:12
#3660:110	#3215:2
#266:47	#201:14
#287:9	#186:9
#3662:64	#3191:2
#254:48	#187:9
#281:88	#182:14
#254:41	#173:5
#249:63	#174:15
#284:51	#178:4
#286:71	#205:13
#3661:129	#3204:1
#3660:93	#3191:2
#256:57	#187:10
#267:11	#193:9
#3661:88	#3193:2
#3679:118	#3215:8
#272:13	#202:15
#264:69	#188:15
#272:13	#182:12
#3659:127	#3191:2
#284:86	#190:2
#3660:24	#3191:2
#286:71	#208:6
#3661:80	#3204:1
#3658:200	#3204:1
#3659:196	#3195:2
#282:10	#177:7
#3689:92	#3183:3
#267:13	#172:10
#3661:185	#3205:12
#254:72	#192:8
#3660:47	#3193:2
#279:35	#199:7
#254:47	#203:0
#257:46	#182:11
#3661:193	#3191:2
#254:47	#196:9
#272:19	#205:4
#3658:45	#3212:4
#3661:68	#3205:12
#276:77	#201:1
#3659:93	#3194:6
#254:41	#182:8
#274:78	#173:8
#3658:164	#3193:2
#274:78	#196:8
#256:91	#179:5
#254:40	#183:3
#275:3	#195:8
#3659:23	#3191:2
#3658:158	#3191:2
#3658:24	#3194:6
#274:78	#200:6
#3662:30	#3191:2
#3659:159	#3207:4
#3658:114	#3194:6
#276:98	#171:0
#3659:118	#3204:1
#274:78	#198:0
#278:99	#205:13
#256:80	#191:12
#266:47	#169:9
#272:11	#173:15
#254:12	#169:0
#264:47	#203:3
#3682:171	#3217:10
#254:40	#185:14
#3660:45	#3204:1
#3658:120	#3191:2
#256:80	#205:3
#284:51	#188:6
#280:92	#197:3
#267:13	#183:5
#3660:48	#3191:2
#3660:37	#3191:2
#3660:99	#3206:8
#3661:176	#3191:2
#3661:32	#3205:12
#275:3	#183:8
#272:15	#197:0
#3658:105	#3191:2
#3658:38	#3193:2
#3661:70	#3191:2
#3671:215	#3194:7
#3661:54	#3191:2
#3658:165	#3194:6
#3659:86	#3191:2
#3661:63	#3193:2
#3660:71	#3193:2
#274:78	#180:5
#278:99	#206:2
#287:40	#201:13
#284:67	#179:10
#3662:0	#3191:2
#269:56	#178:11
#3659:172	#3191:2
#285:3	#178:4
#272:15	#205:3
#3686:4	#3212:4
#3658:2	#3193:2
#269:56	#182:12
#267:15	#204:3
#278:99	#182:9
#3671:18	#3193:2
#3658:72	#3181:7
#266:47	#180:6
#3689:15	#3181:7
#3660:147	#3191:2
#3660:142	#3204:1
#272:13	#179:5
#269:46	#171:0
#3660:202	#3194:6
#274:50	#191:3
#278:99	#196:13
#283:97	#177:1
#278:99	#197:0
#284:48	#183:11
#3659:13	#3191:2
#284:57	#191:14
#272:13	#195:1
#3662:55	#3205:12
#287:9	#172:15
#3661:41	#3194:7
#249:63	#197:8
#274:78	#195:13
#278:99	#178:10
#3661:143	#3206:8
#254:40	#205:13
#269:72	#208:1
#3660:155	#3191:2
#3661:55	#3191:2
#257:34	#193:8
#3658:154	#3194:7
#3661:115	#3194:6
#284:16	#200:8
#3661:160	#3204:1
#279:67	#170:11
#286:71	#180:4
#278:99	#197:2
#3659:143	#3205:12
#279:35	#175:12
#284:40	#182:2
#3660:177	#3181:7
#257:46	#183:0
#274:78	#205:10
#254:47	#182:11
#272:35	#171:6
#272:13	#198:8
#272:13	#195:5
#3660:199	#3205:12
#256:80	#177:7
#254:65	#201:0
#3661:109	#3194:6
#274:78	#179:11
#279:31	#169:4
#3658:166	#3191:2
#254:47	#196:15
#259:50	#205:11
#281:59	#177:8
#3694:144	#3179:5
#3661:179	#3204:1
#287:9	#199:7
#3660:22	#3204:1
#274:78	#196:12
#254:41	#189:12
#3659:43	#3191:2
#275:3	#206:1
#3660:104	#3191:2
#262:16	#183:3
#256:85	#204:2
#274:78	#195:0
#284:48	#184:10
#259:52	#199:7
#3658:106	#3191:2
#284:90	#174:7
#3660:0	#3194:6
#3666:212	#3186:2
#254:47	#177:14
#3658:210	#3191:2
#283:97	#184:4
#285:93	#177:8
#278:99	#197:13
#254:22	#200:4
#249:72	#197:5
#3662:24	#3200:9
#3658:3	#3193:2
#3661:38	#3191:2
#285:3	#174:2
#264:22	#208:1
#264:12	#195:1
#262:20	#172:6
#3662:13	#3193:2
#271:72	#207:5
#275:3	#187:12
#3658:146	#3191:2
#256:80	#200:1
#274:78	#197:4
#257:19	#202:10
#3658:6	#3205:12
#264:22	#182:2
#3662:97	#3194:6
#3661:148	#3191:2
#264:22	#203:0
#276:98	#184:3
#3678:198	#3214:1
#284:34	#179:4
#3658:35	#3207:4
#3661:184	#3187:0
#3685:20	#3189:12
#267:24	#208:3
#256:84	#184:9
#259:39	#201:14
#3661:39	#3193:2
#264:69	#187:9
#252:1	#199:7
#256:80	#170:5
#272:13	#197:0
#3659:212	#3191:2
#272:48	#180:7
#277:14	#202:15
#3659:4	#3204:1
#287:50	#202:10
#272:12	#183:4
#274:24	#171:5
#3658:190	#3193:2
#249:63	#194:11
#3658:104	#3205:12
#3662:7	#3191:2
#287:9	#208:1
#256:80	#177:4
#3658:69	#3181:7
#269:12	#190:2
#3659:95	#3194:6
#3659:89	#3204:1
#3684:117	#3213:9
#274:78	#169:5
#279:67	#178:6
#274:14	#203:3
#3685:65	#3191:2
#254:47	#183:11
#3658:0	#3191:2
#274:37	#207:1
#257:12	#207:5
#256:80	#189:13
#254:47	#203:8
#254:38	#201:12
#272:35	#189:9
#277:15	#207:5
#3658:140	#3212:4
#274:64	#201:1
#275:3	#202:3
#3658:163	#3181:7
#276:67	#196:9
#3658:109	#3191:2
#266:75	#177:6
#3660:133	#3205:12
#279:31	#188:14
#3658:32	#3206:8
#3661:103	#3191:2
#3661:26	#3206:8
#264:38	#182:2
#3661:102	#3191:2
#3658:22	#3205:12
#3661:78	#3194:6
#3660:63	#3207:4
#254:56	#185:14
#3660:112	#3194:7
#277:14	#174:10
#271:72	#189:4
#3659:135	#3205:12
#3660:21	#3204:1
#3691:92	#3179:5
#254:47	#178:4
#257:12	#196:7
#3660:160	#3204:1
#284:22	#198:15
#3658:142	#3212:4
#264:63	#204:7
#272:13	#197:13
#3659:59	#3194:6
#284:51	#187:13
#269:56	#177:4
#3662:27	#3208:4
#3659:99	#3206:8
#3676:120	#3193:2
#287:11	#208:7
#3671:131	#3197:8
#256:82	#170:4
#272:41	#193:2
#257:25	#189:8
#3662:50	#3191:2
#3675:118	#3194:6
#277:40	#182:4
#272:13	#177:4
#266:47	#208:7
#281:59	#198:13
#272:13	#197:2
#272:26	#193:9
#3680:190	#3204:1
#3660:162	#3206:8
#282:26	#173:15
#3659:140	#3191:2
#3659:70	#3194:6
#280:93	#197:13
#254:47	#186:7
#3660:97	#3205:12
#3658:141	#3191:2
#3661:84	#3193:2
#3673:118	#3212:4
#272:8	#194:12
#274:78	#195:5
#3659:155	#3193:2
#3661:47	#3205:12
#284:81	#201:13
#3659:176	#3191:2
#3660:91	#3208:4
#3685:128	#3215:8
#249:57	#205:11
#272:26	#196:13
#3661:220	#3191:2
#3689:160	#3179:5
#3662:53	#3193:2
#3661:177	#3194:6
#3661:5	#3191:2
#3660:49	#3194:7
#254:45	#187:1
#3661:46	#3191:2
#3690:205	#3193:2
#3661:12	#3205:12
#282:33	#169:0
#256:80	#198:0
#3674:118	#3204:9
#3658:26	#3189:12
#3658:212	#3191:2
#284:51	#187:8
#269:85	#185:14
#279:34	#185:14
#272:13	#192:1
#282:8	#179:5
#269:56	#197:2
#3658:64	#3206:8
#279:4	#202:3
#3659:74	#3205:12
#3659:216	#3194:6
#3660:113	#3191:2
#278:99	#185:14
#287:9	#203:0
#275:93	#182:0
#3659:87	#3204:1
#3661:52	#3212:4
#282:8	#195:5
#272:13	#174:7
#267:13	#170:10
#3659:31	#3194:6
#3663:117	#3208:12
#287:9	#171:8
#264:22	#207:5
#3659:149	#3201:6
#274:37	#174:10
#3660:68	#3200:9
#3696:34	#3180:10
#249:34	#195:8
#3662:18	#3194:6
#272:11	#203:2
#3658:168	#3206:8
#262:20	#192:1
#280:93	#191:12
#264:63	#207:5
#278:99	#174:7
#282:18	#198:13
#3688:169	#3195:2
#264:66	#205:5
#3659:11	#3191:2
#275:3	#188:4
#3658:202	#3204:1
#3661:13	#3191:2
#269:49	#196:15
#269:46	#205:13
#3661:74	#3191:2
#274:78	#170:6
#272:13	#205:13
#282:8	#177:4
#3669:66	#3202:2
#274:78	#203:13
#274:78	#169:11
#3660:186	#3205:12
#272:23	#172:15
#275:3	#174:6
#3661:85	#3191:2
#3691:62	#3201:6
#3659:28	#3191:2
#3658:144	#3191:2
#264:12	#190:13
#284:60	#205:11
#256:80	#208:6
#272:13	#179:7
#274:78	#208:10
#3658:48	#3194:6
#272:13	#193:9
#284:35	#186:1
#3659:14	#3193:2
#3662:69	#3206:8
#284:90	#171:6
#3659:194	#3204:1
#274:78	#181:8
#278:99	#171:6
#279:47	#176:10
#277:0	#202:4
#3662:102	#3194:6
#269:46	#208:1
#274:62	#188:11
#3661:216	#3205:12
#3659:207	#3205:12
#272:23	#187:12
#254:70	#190:13
#3661:111	#3191:2
#274:78	#171:2
#256:80	#175:10
#3658:121	#3205:12
#3661:144	#3191:2
#3689:216	#3194:7
#272:13	#181:3
#284:21	#192:1
#286:59	#207:5
#264:22	#176:0
#266:75	#207:13
#249:5	#207:11
#3697:124	#3191:11
#3684:205	#3201:6
#254:38	#177:4
#3691:77	#3181:12
#3658:88	#3191:2
#272:35	#172:12
#3659:3	#3204:1
#3659:214	#3191:2
#279:34	#178:11
#3659:136	#3193:2
#3660:51	#3191:2
#3660:170	#3194:6
#264:22	#171:0
#3661:10	#3205:12
#259:20	#169:14
#272:35	#205:13
#264:49	#192:1
#254:41	#206:3
#3661:45	#3205:12
#3697:157	#3189:7
#279:31	#193:12
#3660:10	#3191:2
#254:38	#203:10
#274:78	#199:7
#3660:116	#3193:2
#3658:94	#3191:2
#264:69	#199:7
#249:63	#191:15
#3661:114	#3191:2
#274:78	#190:5
#3661:19	#3200:9
#284:90	#208:6
#3658:173	#3194:6
#274:78	#181:1
#269:56	#205:13
#3658:170	#3193:2
#256:82	#186:11
#3661:51	#3205:12
#3659:71	#3194:6
#282:10	#197:13
