course_of_action	attack_pattern
#264:49	#206:2
#256:91	#183:3
#267:51	#204:11
#3690:106	#3191:5
#3660:53	#3193:2
#269:72	#183:9
#3660:12	#3207:4
#3662:51	#3193:2
#262:16	#179:5
#3659:221	#3194:7
#3660:215	#3191:2
#3659:75	#3206:8
#3658:193	#3191:2
#266:47	#170:4
#253:98	#198:13
#282:10	#205:3
#3658:174	#3204:1
#3659:84	#3204:1
#266:47	#206:0
#261:89	#169:10
#3661:150	#3191:2
#3659:170	#3187:0
#3661:117	#3191:2
#256:80	#205:13
#249:63	#180:7
#256:80	#197:2
#279:70	#203:3
#274:78	#171:4
#3661:136	#3191:2
#3659:181	#3204:1
#3662:77	#3204:1
#284:90	#182:12
#3659:61	#3205:12
#256:80	#185:6
#3674:113	#3180:10
#3676:195	#3180:10
#3659:178	#3191:2
#3658:68	#3191:2
#3660:43	#3183:3
#274:49	#201:13
#256:80	#185:14
#3674:16	#3206:0
#280:93	#172:6
#274:78	#189:14
#279:35	#207:13
#254:70	#208:7
#285:3	#178:3
#3658:107	#3204:1
#274:95	#179:4
#256:91	#205:13
#3659:125	#3191:2
#3662:101	#3207:4
#264:38	#185:11
#284:90	#185:14
#284:48	#172:6
#3660:180	#3191:2
#3679:195	#3204:1
#256:80	#195:8
#279:70	#205:9
#283:97	#204:1
#3659:90	#3212:4
#3660:190	#3194:6
#259:39	#170:8
#249:72	#171:12
#3658:218	#3191:2
#272:22	#180:4
#259:51	#171:11
#3660:156	#3191:2
#254:22	#198:8
#3658:51	#3191:2
#3661:93	#3194:6
#3658:70	#3191:2
#279:31	#174:9
#262:24	#174:6
#3659:105	#3191:2
#266:47	#176:2
#3660:40	#3205:12
#257:25	#197:10
#3660:101	#3193:2
#3674:209	#3206:8
#256:84	#171:3
#3661:132	#3194:6
#3658:96	#3204:1
#256:80	#183:3
#3660:200	#3194:6
#249:83	#201:12
#272:13	#180:8
#3659:8	#3193:2
#274:37	#201:7
#259:42	#186:10
#272:13	#196:13
#284:48	#197:13
#254:48	#195:8
#3661:122	#3193:2
#3662:71	#3205:12
#3661:209	#3191:2
#264:12	#197:0
#3662:99	#3194:6
#3661:167	#3191:2
#256:80	#170:4
#3659:38	#3191:2
#3660:59	#3191:2
#3660:143	#3191:2
#3661:197	#3204:1
#272:26	#176:12
#254:41	#191:9
#3661:195	#3193:2
#3660:172	#3204:1
