report	indicator
#2958:13	#3288:582
#2938:1	#3293:835
#2954:2	#3247:624
#2954:23	#3229:2677
#2961:13	#3278:2002
#2938:2	#3280:3254
#2939:2	#3364:360
#2952:13	#3219:77
#2947:23	#3255:2
#2930:0	#3293:670
#2947:8	#3294:2267
#2954:21	#3222:2473
#2930:5	#3359:1314
#2948:25	#3291:2623
#2960:26	#3271:458
#2937:30	#3275:1439
#2941:4	#3261:673
#2932:30	#3260:3242
#2961:13	#3260:2745
#2932:7	#3358:559
#2943:8	#3225:2335
#2936:12	#3392:421
#2941:28	#3272:2499
#2952:0	#3376:719
#2930:1	#3493:329
#2932:30	#3283:1083
#2931:29	#3249:68
#2954:28	#3388:472
#2945:14	#3376:597
#2960:16	#3285:1446
#2931:7	#3379:431
#2957:12	#3471:83
#2948:5	#3344:399
#2934:21	#3292:2587
#2945:1	#3262:2007
#2957:11	#3229:2335
#2941:14	#3236:1576
#2951:5	#3286:2666
#2942:9	#3416:80
#2945:30	#3237:2682
#2936:10	#3287:2085
