report	indicator
#2953:16	#3418:245
#2937:24	#3296:850
#2946:29	#3282:2081
#2930:13	#3414:18
#2959:7	#3408:187
#2930:26	#3278:927
#2961:25	#3274:920
#2952:13	#3409:546
#2930:23	#3402:23
#2956:29	#3398:263
#2953:12	#3274:2009
#2947:21	#3242:2192
#2946:23	#3414:201
#2935:2	#3277:750
#2947:1	#3231:146
#2945:16	#3291:2825
#2935:9	#3364:678
#2937:24	#3275:1266
#2947:17	#3413:242
#2958:5	#3271:1338
#2960:8	#3410:461
#2944:7	#3252:1510
#2936:20	#3279:2663
#2954:5	#3290:255
#2953:10	#3356:282
#2949:12	#3297:3083
#2962:5	#3346:1001
#2959:5	#3387:479
#2956:23	#3289:281
#2961:15	#3288:1829
#2943:14	#3272:1751
#2930:13	#3400:86
#2936:6	#3253:1713
#2954:2	#3228:1507
#2948:7	#3242:897
#2939:17	#3223:2329
#2940:1	#3281:1832
#2955:16	#3285:168
#2959:6	#3404:61
#2935:21	#3275:2560
#2930:26	#3286:425
#2947:9	#3267:6
#2954:27	#3276:920
#2945:17	#3295:439
#2952:11	#3259:945
#2960:26	#3260:957
#2960:16	#3259:2942
#2947:0	#3268:1753
#2954:2	#3334:21
#2931:24	#3269:2329
#2935:10	#3275:1501
#2953:10	#3394:55
#2951:20	#3295:1831
#2950:10	#3375:1391
#2947:17	#3390:257
#2961:30	#3270:2
#2930:22	#3257:419
#2956:29	#3399:335
#2939:4	#3418:404
#2945:17	#3269:91
#2935:21	#3290:2942
#2955:4	#3396:416
#2934:18	#3244:1447
#2931:7	#3396:46
#2958:2	#3417:547
#2948:6	#3394:121
#2946:17	#3291:2005
#2934:19	#3275:529
#2935:21	#3265:924
#2944:18	#3288:1332
#2957:7	#3232:1238
#2937:12	#3240:1989
#2959:17	#3267:2578
#2956:19	#3318:8
#2935:9	#3352:718
#2941:1	#3410:233
#2939:13	#3267:2595
#2941:14	#3250:1172
#2945:4	#3462:548
#2946:26	#3280:2108
#2941:27	#3284:2011
#2960:8	#3294:3161
#2945:6	#3286:930
#2940:18	#3387:368
#2930:8	#3402:148
#2959:5	#3416:163
#2947:5	#3405:87
#2956:13	#3278:587
#2941:22	#3260:2674
#2961:30	#3295:418
#2952:29	#3297:332
#2955:15	#3275:1664
#2949:25	#3281:3179
#2931:2	#3264:2500
#2947:21	#3226:2
#2941:17	#3243:2329
#2931:27	#3394:89
#2934:22	#3239:1647
#2934:21	#3263:341
#2932:25	#3261:753
#2946:23	#3416:444
#2933:26	#3397:195
#2937:26	#3357:298
#2950:20	#3388:321
#2936:12	#3385:459
#2948:22	#3249:1173
#2932:7	#3352:1472
#2943:22	#3275:2910
#2937:26	#3376:59
#2948:28	#3219:1716
#2945:16	#3278:589
#2934:24	#3290:1668
#2959:1	#3297:422
#2930:23	#3415:240
#2945:16	#3264:1669
#2945:6	#3293:2866
#2934:21	#3271:2097
#2944:23	#3259:2001
#2941:5	#3289:3080
#2941:9	#3404:294
#2931:15	#3401:534
#2940:22	#3398:331
#2961:30	#3269:2663
#2953:18	#3280:1998
#2954:20	#3295:3018
#2949:23	#3290:2832
#2953:10	#3355:878
#2954:21	#3245:1855
#2947:1	#3401:20
#2936:12	#3388:363
#2941:5	#3290:836
#2957:24	#3248:2541
#2938:3	#3290:2781
#2962:7	#3268:2507
#2956:29	#3401:146
#2945:17	#3278:1111
#2959:17	#3260:173
#2956:29	#3412:444
#2948:7	#3221:2061
#2944:18	#3271:1835
#2934:11	#3398:273
#2943:3	#3228:343
#2948:0	#3281:2523
#2940:27	#3276:1113
#2933:26	#3220:1587
#2954:28	#3475:61
#2954:28	#3480:516
#2933:6	#3267:464
#2943:20	#3397:403
#2939:1	#3277:2517
#2954:2	#3314:21
#2951:5	#3387:360
#2951:28	#3289:2751
#2932:21	#3370:239
#2943:20	#3242:2198
#2939:13	#3266:530
#2932:11	#3279:669
#2931:30	#3242:1508
#2945:1	#3292:3086
#2932:27	#3287:2085
#2931:5	#3467:454
#2956:29	#3379:161
#2952:0	#3412:342
#2937:11	#3378:876
#2953:24	#3289:585
#2934:11	#3412:103
#2940:19	#3380:532
#2957:14	#3270:2422
#2946:16	#3259:2994
#2939:27	#3287:168
#2947:14	#3270:1414
#2932:15	#3298:1024
#2961:18	#3396:163
#2943:3	#3224:1648
#2959:26	#3274:1346
#2957:23	#3239:2268
#2944:3	#3390:161
#2943:22	#3296:2747
#2944:23	#3283:1915
#2954:7	#3388:46
#2954:23	#3224:1239
#2940:27	#3270:2768
#2957:7	#3380:103
#2960:8	#3412:105
#2939:28	#3295:3243
#2949:1	#3402:529
#2957:14	#3276:515
#2930:0	#3282:1496
#2955:3	#3298:1519
#2930:22	#3388:102
#2942:4	#3277:1850
#2962:7	#3265:2345
#2931:30	#3251:1513
#2945:16	#3289:1829
#2952:29	#3285:2582
#2951:10	#3391:336
#2961:24	#3269:167
#2953:9	#3406:4
#2939:27	#3296:1087
#2952:19	#3354:581
#2947:14	#3286:1499
#2961:2	#3295:2081
#2936:20	#3264:1665
#2958:2	#3221:693
#2948:6	#3405:293
#2931:2	#3267:2079
#2945:14	#3378:675
#2949:12	#3263:1961
#2933:9	#3272:1261
#2934:24	#3275:169
#2932:11	#3477:299
#2958:13	#3491:15
#2950:10	#3353:717
#2948:20	#3250:348
#2952:30	#3275:2333
#2935:1	#3465:425
#2939:17	#3244:1241
#2935:19	#3395:188
#2955:15	#3267:253
#2931:15	#3393:474
#2932:25	#3271:1413
#2944:6	#3275:3015
#2954:5	#3285:90
#2930:7	#3264:1095
#2956:14	#3280:2003
#2952:0	#3372:838
#2943:15	#3279:2505
#2933:30	#3281:363
#2939:13	#3273:2860
#2933:9	#3274:772
#2945:25	#3261:1165
#2933:8	#3220:2126
#2930:8	#3389:547
#2936:21	#3387:242
#2960:8	#3261:1085
#2935:1	#3464:300
#2938:24	#3284:3116
#2946:22	#3259:641
#2960:26	#3292:1281
#2938:6	#3294:752
#2940:28	#3250:211
#2948:8	#3231:1788
#2945:30	#3245:286
#2937:21	#3348:1118
#2937:24	#3286:205
#2940:15	#3385:464
#2949:25	#3269:2676
#2937:27	#3240:1099
#2935:1	#3463:175
#2961:2	#3221:827
#2953:24	#3263:501
#2941:22	#3396:331
#2953:24	#3274:1914
#2953:9	#3381:59
#2939:28	#3282:1085
#2956:13	#3270:2331
#2947:17	#3417:12
#2937:30	#3271:1960
#2949:11	#3409:504
#2934:18	#3246:1310
#2955:9	#3390:30
#2940:18	#3415:267
#2933:30	#3280:5
#2948:22	#3256:762
#2954:28	#3373:1515
#2943:26	#3300:3
#2955:29	#3401:461
#2939:10	#3267:1667
#2938:8	#3263:1016
#2950:29	#3259:2577
#2939:27	#3297:1333
#2931:23	#3395:480
#2956:23	#3264:358
#2932:21	#3348:756
#2936:10	#3268:2829
#2952:7	#3255:2061
#2944:23	#3277:921
#2952:30	#3281:1168
