malware	tool
#4392:0	#3971:3
#4360:0	#3969:5
#4547:0	#3972:2
#4499:0	#3976:5
#4354:1	#3954:4
#4422:0	#3973:0
#4548:0	#3968:4
#4554:0	#3975:0
#4265:1	#3945:3
#4265:0	#3976:5
#4482:0	#3974:4
#4356:0	#3971:5
#4494:0	#3957:0
#4462:1	#3962:1
#4302:0	#3961:3
#4305:0	#3973:0
#4472:0	#3975:0
#4301:0	#3954:6
#4580:0	#3972:2
#4310:0	#3951:1
#4351:0	#3960:4
#4267:0	#3954:4
#4327:0	#3972:5
#4340:1	#3938:4
#4467:0	#3973:0
#4288:0	#3941:2
#4584:0	#3946:0
#4341:1	#3954:6
#4326:0	#3940:6
#4311:0	#3957:5
#4350:1	#3976:0
#4465:0	#3963:2
#4556:0	#3971:3
#4261:1	#3948:4
#4264:1	#3972:2
#4460:0	#3940:2
#4398:0	#3954:3
#4367:0	#3957:5
#4258:1	#3952:4
#4262:2	#3949:3
#4343:0	#3951:2
#4338:1	#3961:4
#4303:0	#3971:5
#4294:1	#3972:4
#4400:0	#3974:2
#4371:0	#3971:3
#4559:0	#3947:6
#4275:1	#3974:4
#4339:1	#3948:0
#4272:1	#3943:4
#4459:0	#3954:6
#4258:0	#3938:0
#4579:0	#3976:5
#4436:0	#3972:0
#4297:1	#3940:5
#4506:0	#3940:6
#4478:0	#3952:5
#4266:1	#3966:5
#4277:1	#3950:4
#4325:0	#3944:3
#4282:1	#3951:2
#4504:0	#3975:0
#4542:0	#3965:4
#4290:0	#3948:3
#4418:0	#3976:5
#4313:0	#3947:6
#4330:0	#3939:0
#4298:0	#3938:0
#4296:0	#3962:4
#4429:0	#3975:0
#4289:1	#3967:5
#4413:0	#3968:5
#4353:1	#3968:5
#4270:0	#3938:1
#4487:0	#3948:0
#4308:0	#3945:3
#4585:0	#3946:2
#4273:1	#3961:5
#4460:1	#3944:3
#4291:0	#3957:3
#4403:0	#3961:1
#4274:0	#3975:0
